Date,Open,High,Low,Close
24/11/1999,0.6316,0.6332,0.6315,0.6322
26/11/1999,0.6377,0.6382,0.6337,0.635
29/11/1999,0.6383,0.6386,0.6365,0.638
30/11/1999,0.6344,0.638,0.6339,0.6368
01/12/1999,0.6373,0.6378,0.6353,0.6372
02/12/1999,0.6356,0.6356,0.6315,0.6329
03/12/1999,0.6316,0.635,0.6305,0.633
06/12/1999,0.6332,0.636,0.6318,0.6351
07/12/1999,0.6363,0.6375,0.636,0.6372
08/12/1999,0.6375,0.6392,0.6373,0.638
09/12/1999,0.64,0.641,0.639,0.6397
10/12/1999,0.6351,0.6375,0.634,0.6357
13/12/1999,0.634,0.6348,0.634,0.634
14/12/1999,0.6362,0.638,0.6357,0.6364
15/12/1999,0.6358,0.6378,0.6353,0.6369
16/12/1999,0.641,0.645,0.6405,0.6437
17/12/1999,0.6455,0.647,0.6429,0.6439
20/12/1999,0.6441,0.6441,0.6422,0.6434
21/12/1999,0.644,0.6456,0.6434,0.6455
22/12/1999,0.6461,0.6467,0.644,0.6456
23/12/1999,0.6448,0.6465,0.6448,0.6463
27/12/1999,0.6446,0.6475,0.6443,0.647
28/12/1999,0.645,0.648,0.6448,0.6459
29/12/1999,0.6508,0.6535,0.6495,0.6533
30/12/1999,0.6535,0.6558,0.6525,0.6546
31/12/1999,0.657,0.6585,0.6547,0.6583
03/01/2000,0.6585,0.6621,0.6582,0.6621
04/01/2000,0.6582,0.6593,0.6557,0.6561
05/01/2000,0.6584,0.6603,0.6556,0.6584
06/01/2000,0.657,0.6572,0.6541,0.6557
07/01/2000,0.6539,0.6562,0.6535,0.6561
10/01/2000,0.6568,0.6578,0.6562,0.657
11/01/2000,0.6555,0.6595,0.655,0.6588
12/01/2000,0.6596,0.66,0.6575,0.6588
13/01/2000,0.6655,0.6693,0.6648,0.6689
14/01/2000,0.6675,0.668,0.6663,0.6673
18/01/2000,0.664,0.6662,0.663,0.6656
19/01/2000,0.6647,0.6651,0.663,0.6639
20/01/2000,0.665,0.6683,0.665,0.6661
21/01/2000,0.6639,0.6656,0.6622,0.6638
24/01/2000,0.6557,0.6573,0.6525,0.6542
25/01/2000,0.6563,0.6568,0.6545,0.6553
26/01/2000,0.6558,0.656,0.6505,0.6519
27/01/2000,0.6523,0.6562,0.6521,0.6547
28/01/2000,0.6488,0.6496,0.6225,0.6316
31/01/2000,0.634,0.6385,0.6338,0.6352
01/02/2000,0.6358,0.6374,0.63,0.6317
02/02/2000,0.6365,0.6392,0.6348,0.6381
03/02/2000,0.6333,0.6405,0.6333,0.6368
04/02/2000,0.6322,0.6388,0.6295,0.6369
07/02/2000,0.6404,0.6434,0.633,0.6343
08/02/2000,0.634,0.6365,0.6325,0.6333
09/02/2000,0.6358,0.6376,0.6345,0.635
10/02/2000,0.6326,0.6337,0.6283,0.631
11/02/2000,0.6307,0.6332,0.6278,0.6325
14/02/2000,0.6315,0.6316,0.6267,0.6274
15/02/2000,0.6268,0.6315,0.6245,0.6291
16/02/2000,0.6314,0.6327,0.6287,0.6322
17/02/2000,0.6338,0.6342,0.6307,0.6328
18/02/2000,0.6308,0.631,0.6285,0.6286
22/02/2000,0.6271,0.6275,0.6247,0.6249
23/02/2000,0.6203,0.622,0.6186,0.6209
24/02/2000,0.6155,0.6177,0.6138,0.6159
25/02/2000,0.6194,0.6194,0.615,0.6157
28/02/2000,0.6135,0.6145,0.6115,0.6136
29/02/2000,0.615,0.6189,0.6141,0.6189
