Date,Open,High,Low,Close
24/11/1999,1.614,1.6176,1.6046,1.6052
26/11/1999,1.604,1.6086,1.603,1.6074
29/11/1999,1.6002,1.606,1.5988,1.6058
30/11/1999,1.597,1.5996,1.5916,1.599
01/12/1999,1.601,1.6046,1.5954,1.6012
02/12/1999,1.599,1.6036,1.5966,1.6004
03/12/1999,1.6006,1.603,1.5998,1.6012
06/12/1999,1.6132,1.626,1.612,1.6194
07/12/1999,1.6254,1.627,1.6228,1.6248
08/12/1999,1.6262,1.6296,1.6252,1.6282
09/12/1999,1.626,1.6284,1.622,1.6248
10/12/1999,1.6232,1.6242,1.6198,1.6208
13/12/1999,1.6216,1.6228,1.6216,1.6228
14/12/1999,1.6146,1.617,1.6112,1.6128
15/12/1999,1.6058,1.6108,1.6032,1.6056
16/12/1999,1.6164,1.6192,1.6086,1.6112
17/12/1999,1.6128,1.6144,1.603,1.6052
20/12/1999,1.6088,1.609,1.6048,1.6062
21/12/1999,1.6082,1.6148,1.6076,1.6128
22/12/1999,1.6124,1.6136,1.6066,1.6086
23/12/1999,1.611,1.6194,1.6106,1.6152
27/12/1999,1.6178,1.6194,1.6156,1.6184
28/12/1999,1.6168,1.6194,1.615,1.6162
29/12/1999,1.6176,1.6204,1.6162,1.6192
30/12/1999,1.6158,1.6176,1.6116,1.6174
31/12/1999,1.6144,1.6196,1.6132,1.619
03/01/2000,1.6162,1.6404,1.616,1.6394
04/01/2000,1.6368,1.6398,1.6346,1.6372
05/01/2000,1.6412,1.6442,1.6378,1.642
06/01/2000,1.6484,1.651,1.644,1.6476
07/01/2000,1.6432,1.6468,1.6362,1.6386
10/01/2000,1.6364,1.6394,1.636,1.6368
11/01/2000,1.6414,1.649,1.641,1.648
12/01/2000,1.6482,1.6492,1.645,1.648
13/01/2000,1.6434,1.6506,1.641,1.6466
14/01/2000,1.6436,1.6448,1.633,1.6346
18/01/2000,1.635,1.6392,1.6334,1.6362
19/01/2000,1.6368,1.6456,1.6368,1.6434
20/01/2000,1.6456,1.6578,1.6444,1.6538
21/01/2000,1.6516,1.6534,1.6476,1.6494
24/01/2000,1.6548,1.655,1.648,1.65
25/01/2000,1.6454,1.6508,1.644,1.6444
26/01/2000,1.644,1.6444,1.6352,1.6382
27/01/2000,1.637,1.6394,1.634,1.6384
28/01/2000,1.6254,1.6274,1.6152,1.6208
31/01/2000,1.6192,1.623,1.6118,1.6156
01/02/2000,1.6136,1.6174,1.6084,1.615
02/02/2000,1.6044,1.6102,1.6022,1.607
03/02/2000,1.6012,1.6044,1.5936,1.5954
04/02/2000,1.586,1.5928,1.585,1.5892
07/02/2000,1.5918,1.598,1.5884,1.596
08/02/2000,1.6024,1.614,1.5998,1.6106
09/02/2000,1.6084,1.6158,1.6078,1.614
10/02/2000,1.6102,1.6116,1.6048,1.6086
11/02/2000,1.5962,1.6004,1.5872,1.5938
14/02/2000,1.5906,1.5936,1.5852,1.5878
15/02/2000,1.5876,1.5982,1.5872,1.5952
16/02/2000,1.5984,1.6078,1.5976,1.6068
17/02/2000,1.6106,1.612,1.602,1.608
18/02/2000,1.6036,1.6048,1.595,1.599
22/02/2000,1.6078,1.6194,1.6078,1.612
23/02/2000,1.6096,1.6098,1.6018,1.6028
24/02/2000,1.5986,1.6022,1.5974,1.601
25/02/2000,1.5938,1.5958,1.5878,1.5936
28/02/2000,1.5862,1.5976,1.5856,1.5942
29/02/2000,1.5816,1.5838,1.5774,1.5794
01/03/2000,1.5786,1.5924,1.575,1.5864
02/03/2000,1.583,1.5832,1.5758,1.577
03/03/2000,1.579,1.584,1.5762,1.5798
06/03/2000,1.5774,1.5774,1.5712,1.5744
07/03/2000,1.573,1.5824,1.572,1.5778
08/03/2000,1.5786,1.5874,1.5746,1.581
09/03/2000,1.5798,1.5826,1.578,1.5812
10/03/2000,1.5766,1.58,1.576,1.5768
13/03/2000,1.5804,1.5826,1.5804,1.5816
14/03/2000,1.5712,1.578,1.57,1.5772
15/03/2000,1.5722,1.5752,1.5702,1.5734
16/03/2000,1.5712,1.578,1.5694,1.5762
17/03/2000,1.574,1.5746,1.5704,1.573
20/03/2000,1.5668,1.572,1.5656,1.57
21/03/2000,1.5702,1.5782,1.57,1.5738
22/03/2000,1.5672,1.581,1.562,1.5774
23/03/2000,1.5824,1.591,1.5792,1.5872
24/03/2000,1.5886,1.5948,1.584,1.5934
27/03/2000,1.5934,1.5946,1.5846,1.5876
28/03/2000,1.5882,1.59,1.5856,1.5896
29/03/2000,1.5888,1.598,1.5818,1.5962
30/03/2000,1.5912,1.5986,1.5908,1.5968
31/03/2000,1.594,1.5994,1.59,1.594
03/04/2000,1.5942,1.5998,1.593,1.5986
04/04/2000,1.5986,1.609,1.594,1.5968
05/04/2000,1.5878,1.5932,1.5826,1.584
06/04/2000,1.5844,1.586,1.578,1.5814
07/04/2000,1.5822,1.5848,1.5786,1.581
10/04/2000,1.5822,1.5852,1.5816,1.5848
11/04/2000,1.585,1.5898,1.5842,1.5868
12/04/2000,1.5864,1.5892,1.583,1.5868
13/04/2000,1.5892,1.5912,1.5864,1.589
14/04/2000,1.586,1.5922,1.5856,1.5882
17/04/2000,1.5886,1.5894,1.583,1.5838
18/04/2000,1.583,1.5834,1.575,1.5788
19/04/2000,1.5824,1.584,1.5768,1.5792
