Date,Open,High,Low,Close
02/01/1997,257.75,260.5,256.75,258.5
03/01/1997,257.5,258,256,256.5
06/01/1997,257.5,258.5,256.75,257
07/01/1997,257.5,258.5,256.75,258.25
08/01/1997,258,259.75,257.5,259.25
09/01/1997,259.25,259.5,258,258.25
10/01/1997,270.25,270.25,264.5,265.5
13/01/1997,266.5,268,265.5,267.25
14/01/1997,266.75,272.5,266.5,270.75
15/01/1997,271.25,274,270.25,273.75
16/01/1997,274,274.25,271.25,273.5
17/01/1997,272,273.25,271.25,273.25
20/01/1997,270.5,275.5,269.75,271.75
21/01/1997,271,272.25,270.5,271
22/01/1997,271.75,272,269.5,270.5
23/01/1997,270,271.5,269.25,270.25
24/01/1997,272.25,273,271,272.75
27/01/1997,273,275.5,271.75,275
28/01/1997,274.75,277.25,274.25,274.75
29/01/1997,274.25,277,274,275
30/01/1997,276,276.25,273.5,273.75
31/01/1997,272.5,273,269.5,270.25
03/02/1997,268.75,269.75,268.25,269.5
04/02/1997,269.75,271.5,268,270.5
05/02/1997,271,272.75,270,272.5
06/02/1997,272.75,272.75,268.5,268.75
07/02/1997,268.75,272.25,268.25,271
10/02/1997,271.5,272.25,270.75,272
11/02/1997,271.75,272.75,271,272.5
12/02/1997,273.5,274,271.25,273.75
13/02/1997,273.25,274.75,272.5,274.5
14/02/1997,274,276.25,273.75,274
18/02/1997,275,283,275,282.75
19/02/1997,281.75,289.25,281.5,283.5
20/02/1997,283,288,282.75,287
21/02/1997,289.5,292.5,286,291.75
24/02/1997,291.5,292.25,288.5,289
25/02/1997,289.5,293.5,287.25,293.25
26/02/1997,292,294.75,291.25,292.75
27/02/1997,292.5,297.75,291.75,296
28/02/1997,295,297.5,293.25,296.75
03/03/1997,303,303,299.5,302.75
04/03/1997,302,308.75,301.75,303.75
05/03/1997,304,305,301,301.75
06/03/1997,302.25,306.5,299.25,306.25
07/03/1997,307.75,308.5,300,306
10/03/1997,307,314,303.75,312
11/03/1997,308,309.75,306.5,308.5
12/03/1997,308.5,308.5,297.5,297.75
13/03/1997,298,301.5,295.25,300.75
14/03/1997,302.5,309.5,302.5,307.25
17/03/1997,309.5,311.25,305.75,310.25
18/03/1997,308,308.75,305,306
19/03/1997,306.5,307.25,298,302.5
20/03/1997,305.5,309,304,304.75
21/03/1997,300,302.5,299,300.25
24/03/1997,297.5,299.5,295.75,299
25/03/1997,301,303.25,299.75,302.25
26/03/1997,303,305.75,302,305.25
27/03/1997,307.25,308.75,306.25,308.25
31/03/1997,306.75,311,304.5,310
01/04/1997,318,320,312,313
02/04/1997,311.25,312.5,307.75,308.5
03/04/1997,306.5,306.5,300,301
04/04/1997,299.5,299.5,293.5,294.25
07/04/1997,297.5,301.75,296.5,300.75
08/04/1997,301.25,302.5,299,299.5
09/04/1997,298.75,301,295.25,299
10/04/1997,303,304.5,301.5,303.75
11/04/1997,309,309,298.75,299.5
14/04/1997,305.5,307.5,302,303.75
15/04/1997,302,303,299,302.75
16/04/1997,302.5,302.6,297,297.25
17/04/1997,298.25,301,296.25,297
18/04/1997,297.25,301,296.5,300.25
21/04/1997,299.75,301.75,298,299.75
22/04/1997,299.25,301.75,298.5,301.25
23/04/1997,300.25,300.75,298.25,298.5
24/04/1997,298,298.25,292,293
25/04/1997,294,299.25,294,294.5
28/04/1997,292,293.5,290.5,290.75
29/04/1997,290.5,293.5,290.25,291.5
30/04/1997,294,297.25,293.25,295
01/05/1997,294.75,299.75,294.5,298.5
02/05/1997,297,300.25,294.5,294.75
05/05/1997,296,297.25,292,293
06/05/1997,292.5,292.5,288.25,288.5
07/05/1997,288.5,290.5,287.75,288
08/05/1997,288,288.5,286,288
09/05/1997,289.5,292.25,289.25,292
12/05/1997,290.5,290.5,288,288.25
13/05/1997,287.25,289.75,285.25,289.25
14/05/1997,290,290.25,285,285.75
15/05/1997,285.25,286.75,284.25,284.75
16/05/1997,284.5,289.5,284.25,288.25
19/05/1997,288,293.5,287,293.25
20/05/1997,293.5,293.5,287.5,287.75
21/05/1997,276,277.75,275,276.75
22/05/1997,277.75,279.25,273,273.25
23/05/1997,272.75,273.75,270.25,270.5
27/05/1997,269.25,270,264,264.25
28/05/1997,264,269.75,264,269.5
29/05/1997,270.5,274.5,268.25,269.25
30/05/1997,273,273.25,269.5,270.75
02/06/1997,273,274.25,270.5,274
03/06/1997,275.25,278.25,274,277.5
04/06/1997,275,275.5,271,271.25
05/06/1997,270.75,275,270.75,274.25
06/06/1997,275,276.5,273.75,274
09/06/1997,271,274.5,268.25,274
10/06/1997,275.25,276.25,271.5,271.75
11/06/1997,272,274,270.5,272.5
12/06/1997,272.25,273.75,270.75,271.25
13/06/1997,272.25,273,270.5,271.5
16/06/1997,270.25,271,268.25,268.5
17/06/1997,268.5,270.5,268.25,270.25
18/06/1997,271,271.25,266.25,266.5
19/06/1997,266.25,266.5,265,265.25
20/06/1997,264.5,266.5,264,265.5
23/06/1997,263.25,263.25,259,260.5
24/06/1997,260.75,261.25,258.5,260.25
25/06/1997,259.25,259.25,255.75,256.25
26/06/1997,255,255.25,250,250.25
27/06/1997,249,250.75,245.5,246.25
30/06/1997,244.5,248.5,240,248
01/07/1997,246.75,247.5,243,243.25
02/07/1997,244.5,246.5,242.75,245.75
03/07/1997,246,246.5,244.5,244.75
07/07/1997,242.5,243.5,240,240.5
08/07/1997,243.5,246.5,242,243.25
09/07/1997,244.5,250,244.5,249.75
10/07/1997,248.75,249,247,247.75
11/07/1997,246.5,252,245.5,251.5
14/07/1997,264,267,259,262.25
15/07/1997,263.5,272,261.5,270.75
16/07/1997,268.5,269,264.75,266.5
17/07/1997,267,269.75,263.5,265.5
18/07/1997,269.5,273.25,268.5,270.25
21/07/1997,259,264,258.75,263.75
22/07/1997,266,271,264,271
23/07/1997,271,271,271,271
24/07/1997,245.25,246,243,243.5
25/07/1997,243.5,245,243,243.25
28/07/1997,250,255.25,245,250.5
29/07/1997,254.5,260.25,254.5,258
30/07/1997,262,263.5,257.75,262.25
31/07/1997,261,266.5,260.5,265.5
01/08/1997,266,270,263.5,268.5
04/08/1997,274,275,262.5,263.75
05/08/1997,262.5,263.25,254,254.5
06/08/1997,256,259.75,255.75,259
07/08/1997,257,257,249.5,250
08/08/1997,250.5,254,249.25,253.5
11/08/1997,248,250,246,249.75
12/08/1997,261.75,261.75,261.75,261.75
13/08/1997,270.5,270.5,261.75,262.25
14/08/1997,260.75,265,260.5,264.25
15/08/1997,262.75,263.25,259.75,260
18/08/1997,258,261,257.5,260.75
19/08/1997,263.5,264,262,263.5
20/08/1997,263,264,261.75,262.25
21/08/1997,265,274,265,273
22/08/1997,272,272.5,270.5,271.75
25/08/1997,270,271.75,268.5,271.25
26/08/1997,268.75,269,263.5,263.75
27/08/1997,263.5,268.75,263.5,268.5
28/08/1997,268,268.5,264.5,265.75
29/08/1997,265.5,269.25,265.25,265.75
02/09/1997,266.5,270,264.5,269.75
03/09/1997,271,272,268.5,270
04/09/1997,267.75,270,267,270
05/09/1997,270,271,266,266.25
08/09/1997,264.75,266,263.5,265.5
09/09/1997,266.5,268,265.25,267.75
10/09/1997,268.5,270,267.5,269.75
11/09/1997,268,274,267.5,273.5
12/09/1997,272.5,273,265.5,266.25
15/09/1997,266,267.5,264.25,267
16/09/1997,269,270.25,262.5,262.75
17/09/1997,262.5,265,262.25,263.5
18/09/1997,267,268,263,265
19/09/1997,264.5,269.5,250,255.5
22/09/1997,260,262.5,257.5,262.25
23/09/1997,262.75,263,260,262.25
24/09/1997,262.25,263.25,260.75,261
25/09/1997,262,263,258,259.5
26/09/1997,257.75,258.75,257.25,257.5
29/09/1997,256,259.75,255.5,258.75
30/09/1997,258.5,259.5,257.5,257.75
01/10/1997,258.5,259.25,255.75,256.25
02/10/1997,256.5,258.25,255.5,257.25
03/10/1997,257.75,266,256.5,264.75
06/10/1997,263.5,268.5,261.75,267.75
07/10/1997,268.5,279.75,267.25,279.75
08/10/1997,278,285,277.75,282.75
09/10/1997,281,284,279.5,283.75
10/10/1997,290,293.5,286.25,288.25
13/10/1997,289.75,295,287.75,291
