Date,Open,High,Low,Close
24/11/1999,1.0228,1.0249,1.017,1.0181
26/11/1999,1.0112,1.019,1.0105,1.0175
29/11/1999,1.0089,1.0119,1.0047,1.0113
30/11/1999,1.011,1.0113,1.0056,1.0095
01/12/1999,1.0103,1.0106,1.0055,1.0095
02/12/1999,1.0067,1.0086,1.002,1.0032
03/12/1999,1.0022,1.003,1.0004,1.0029
06/12/1999,1.019,1.0265,1.018,1.0228
07/12/1999,1.0246,1.0258,1.0205,1.0251
08/12/1999,1.0242,1.0285,1.0238,1.0278
09/12/1999,1.0172,1.0235,1.0165,1.0214
10/12/1999,1.014,1.0167,1.0115,1.0121
13/12/1999,1.0119,1.0132,1.011,1.0114
14/12/1999,1.0112,1.0148,1.0107,1.0123
15/12/1999,1.0087,1.0156,1.0081,1.0137
16/12/1999,1.0212,1.0256,1.0195,1.0233
17/12/1999,1.0205,1.0212,1.0126,1.0146
20/12/1999,1.0165,1.0196,1.0127,1.0181
21/12/1999,1.0151,1.0172,1.0142,1.0151
22/12/1999,1.0138,1.0162,1.0125,1.0153
23/12/1999,1.0153,1.0242,1.0152,1.021
27/12/1999,1.019,1.0208,1.0176,1.0189
28/12/1999,1.0149,1.0169,1.01,1.012
29/12/1999,1.012,1.013,1.0092,1.0109
30/12/1999,1.0095,1.0145,1.0075,1.014
31/12/1999,1.0124,1.017,1.0108,1.016
03/01/2000,1.0144,1.0333,1.0105,1.0329
04/01/2000,1.0356,1.0395,1.0322,1.0352
05/01/2000,1.0424,1.044,1.0351,1.0369
06/01/2000,1.0435,1.0444,1.0326,1.0349
07/01/2000,1.0336,1.0368,1.0305,1.0332
10/01/2000,1.0276,1.0323,1.0272,1.0304
11/01/2000,1.0309,1.038,1.0307,1.0373
12/01/2000,1.0351,1.0367,1.031,1.0359
13/01/2000,1.0317,1.0324,1.028,1.03
14/01/2000,1.0266,1.0266,1.0155,1.0185
18/01/2000,1.0136,1.018,1.012,1.0163
19/01/2000,1.0148,1.0168,1.0127,1.0164
20/01/2000,1.0125,1.0224,1.0113,1.0205
21/01/2000,1.0135,1.0143,1.0086,1.0136
24/01/2000,1.0069,1.0081,1.0037,1.0079
25/01/2000,1.0047,1.0109,1.003,1.0053
26/01/2000,1.0055,1.0061,1.003,1.0048
27/01/2000,0.9997,0.9998,0.9901,0.9908
28/01/2000,0.987,0.9901,0.9768,0.9803
31/01/2000,0.983,0.985,0.9698,0.9725
01/02/2000,0.9741,0.9808,0.9718,0.9761
02/02/2000,0.9744,0.9828,0.9725,0.9784
03/02/2000,0.9769,0.9973,0.9762,0.9927
04/02/2000,0.9859,0.9868,0.9776,0.985
07/02/2000,0.979,0.9839,0.9779,0.9826
08/02/2000,0.9933,0.9933,0.9869,0.9881
09/02/2000,0.9947,0.999,0.9909,0.9945
10/02/2000,0.9894,0.9922,0.9853,0.9883
11/02/2000,0.9817,0.9899,0.9814,0.989
14/02/2000,0.9886,0.9886,0.9796,0.9832
15/02/2000,0.9791,0.9879,0.979,0.9831
16/02/2000,0.9819,0.9888,0.981,0.9883
17/02/2000,0.9937,0.9944,0.9852,0.9901
18/02/2000,0.9872,0.9888,0.9826,0.9862
22/02/2000,1.002,1.0094,1.002,1.0063
23/02/2000,1.0077,1.0078,1.0023,1.0041
24/02/2000,0.9906,0.9975,0.9899,0.9954
25/02/2000,0.9822,0.984,0.9735,0.9752
28/02/2000,0.9641,0.974,0.9635,0.9727
29/02/2000,0.9721,0.9726,0.9632,0.9672
01/03/2000,0.9675,0.9775,0.9655,0.9751
02/03/2000,0.9726,0.975,0.962,0.967
03/03/2000,0.9666,0.9683,0.9596,0.9621
06/03/2000,0.9639,0.9644,0.958,0.9596
07/03/2000,0.9591,0.9627,0.9536,0.9576
08/03/2000,0.9545,0.9628,0.953,0.9616
09/03/2000,0.9619,0.9695,0.9613,0.9679
10/03/2000,0.96,0.967,0.9598,0.9631
13/03/2000,0.9711,0.9719,0.9682,0.9691
14/03/2000,0.9679,0.9744,0.9655,0.9733
15/03/2000,0.9715,0.9773,0.9715,0.9741
16/03/2000,0.9724,0.98,0.9709,0.9775
17/03/2000,0.9733,0.9791,0.9718,0.9787
20/03/2000,0.9774,0.98,0.9745,0.9793
21/03/2000,0.9758,0.978,0.9692,0.9704
22/03/2000,0.9657,0.9688,0.9637,0.966
23/03/2000,0.9711,0.9788,0.9708,0.9776
24/03/2000,0.9762,0.9829,0.973,0.9807
27/03/2000,0.9774,0.9785,0.9688,0.971
28/03/2000,0.9737,0.9754,0.9653,0.9669
29/03/2000,0.9617,0.9628,0.953,0.956
30/03/2000,0.9591,0.9675,0.9563,0.9662
31/03/2000,0.9603,0.9639,0.96,0.9607
03/04/2000,0.9619,0.9653,0.9576,0.963
04/04/2000,0.9594,0.9805,0.9565,0.9686
05/04/2000,0.972,0.9759,0.9657,0.9677
06/04/2000,0.9667,0.9675,0.9613,0.9648
07/04/2000,0.961,0.966,0.9582,0.9592
10/04/2000,0.9632,0.9671,0.9625,0.9658
11/04/2000,0.9638,0.9689,0.9607,0.9632
12/04/2000,0.9618,0.9627,0.9562,0.9604
13/04/2000,0.9572,0.9615,0.9555,0.9583
14/04/2000,0.9578,0.966,0.957,0.9626
17/04/2000,0.9608,0.9629,0.9571,0.9575
18/04/2000,0.9541,0.9547,0.9494,0.9512
19/04/2000,0.9496,0.9507,0.9396,0.9432
20/04/2000,0.9413,0.9433,0.9388,0.94
24/04/2000,0.9463,0.9483,0.9419,0.9429
25/04/2000,0.9334,0.9336,0.9195,0.9232
26/04/2000,0.922,0.9278,0.9216,0.9268
27/04/2000,0.9195,0.9279,0.909,0.9137
28/04/2000,0.9125,0.9165,0.9105,0.9122
01/05/2000,0.9123,0.9201,0.9101,0.9196
02/05/2000,0.9142,0.9157,0.9062,0.9104
03/05/2000,0.8925,0.8997,0.8913,0.8987
04/05/2000,0.8976,0.8986,0.8917,0.8927
05/05/2000,0.9024,0.9036,0.8931,0.901
08/05/2000,0.8978,0.9004,0.8943,0.8995
09/05/2000,0.9,0.9104,0.8982,0.9091
10/05/2000,0.9131,0.9152,0.9107,0.9114
11/05/2000,0.9109,0.9118,0.9015,0.9018
12/05/2000,0.9056,0.9221,0.9051,0.9207
15/05/2000,0.9167,0.9192,0.9144,0.9147
16/05/2000,0.9086,0.9095,0.9046,0.9055
17/05/2000,0.8946,0.899,0.8909,0.8971
18/05/2000,0.8953,0.8989,0.8937,0.8951
19/05/2000,0.8888,0.9018,0.888,0.9007
22/05/2000,0.9015,0.909,0.9,0.9064
23/05/2000,0.9117,0.9138,0.9033,0.9075
24/05/2000,0.9123,0.9142,0.907,0.9085
25/05/2000,0.9006,0.9138,0.9004,0.9137
26/05/2000,0.9153,0.9344,0.9135,0.9327
30/05/2000,0.9367,0.939,0.9318,0.9331
31/05/2000,0.9313,0.9378,0.9276,0.937
01/06/2000,0.9336,0.9346,0.9293,0.9337
02/06/2000,0.9364,0.9513,0.9345,0.943
05/06/2000,0.9436,0.9498,0.9421,0.9493
06/06/2000,0.9497,0.9608,0.9495,0.9556
07/06/2000,0.956,0.9635,0.9544,0.9619
08/06/2000,0.9665,0.9688,0.9518,0.9572
09/06/2000,0.9493,0.9547,0.9465,0.9542
12/06/2000,0.9533,0.9562,0.9527,0.9538
13/06/2000,0.9581,0.9631,0.958,0.9609
14/06/2000,0.9634,0.965,0.9578,0.9607
15/06/2000,0.9516,0.955,0.9515,0.9536
16/06/2000,0.9562,0.9657,0.956,0.9655
19/06/2000,0.9637,0.964,0.9608,0.9612
20/06/2000,0.9591,0.9642,0.959,0.9633
21/06/2000,0.9515,0.9527,0.9483,0.9502
22/06/2000,0.9451,0.949,0.9395,0.9429
23/06/2000,0.9461,0.9473,0.9389,0.9411
26/06/2000,0.937,0.9444,0.9369,0.943
27/06/2000,0.9452,0.9516,0.9423,0.9514
28/06/2000,0.9459,0.9514,0.9447,0.9479
29/06/2000,0.9549,0.9582,0.9542,0.9567
30/06/2000,0.9602,0.9647,0.9567,0.9581
03/07/2000,0.9536,0.9575,0.9527,0.9552
05/07/2000,0.9583,0.9616,0.9561,0.9579
06/07/2000,0.9592,0.9609,0.9537,0.9548
07/07/2000,0.9523,0.9568,0.95,0.951
10/07/2000,0.9557,0.9589,0.9549,0.9585
11/07/2000,0.9564,0.9576,0.9532,0.9559
12/07/2000,0.9532,0.9533,0.9431,0.9458
13/07/2000,0.9385,0.9413,0.9364,0.94
14/07/2000,0.9378,0.9426,0.9353,0.9413
17/07/2000,0.9387,0.9404,0.9375,0.9391
18/07/2000,0.9388,0.9393,0.9265,0.9299
19/07/2000,0.9252,0.9282,0.9226,0.9265
20/07/2000,0.9258,0.9365,0.9251,0.936
21/07/2000,0.9387,0.9411,0.9352,0.9401
24/07/2000,0.9357,0.9372,0.9341,0.9357
25/07/2000,0.9433,0.9452,0.9406,0.941
26/07/2000,0.9425,0.9464,0.942,0.9446
27/07/2000,0.9417,0.9426,0.9344,0.9351
28/07/2000,0.9303,0.9307,0.9252,0.9261
31/07/2000,0.9266,0.9321,0.9264,0.9296
01/08/2000,0.929,0.9317,0.9215,0.923
02/08/2000,0.9167,0.9181,0.9139,0.9146
03/08/2000,0.9057,0.91,0.9024,0.9093
04/08/2000,0.9043,0.9123,0.9037,0.9102
07/08/2000,0.9114,0.9134,0.9087,0.9106
08/08/2000,0.9068,0.907,0.9009,0.904
09/08/2000,0.8997,0.903,0.8988,0.9007
10/08/2000,0.9061,0.9117,0.9054,0.9097
11/08/2000,0.9151,0.9151,0.9042,0.9052
14/08/2000,0.9026,0.9086,0.9019,0.907
15/08/2000,0.9135,0.9157,0.9122,0.9149
16/08/2000,0.909,0.9174,0.9089,0.9173
17/08/2000,0.9163,0.9191,0.9151,0.9188
18/08/2000,0.9136,0.9137,0.9076,0.9082
21/08/2000,0.9037,0.9061,0.9023,0.9032
22/08/2000,0.8986,0.9005,0.8962,0.8987
23/08/2000,0.8945,0.9016,0.8936,0.9014
24/08/2000,0.9018,0.9062,0.901,0.9034
25/08/2000,0.9029,0.9082,0.9025,0.9037
28/08/2000,0.902,0.9024,0.8995,0.901
29/08/2000,0.8967,0.8989,0.8923,0.8933
30/08/2000,0.8924,0.8945,0.8916,0.8935
31/08/2000,0.8914,0.8935,0.885,0.8885
01/09/2000,0.8913,0.9025,0.8899,0.9004
05/09/2000,0.889,0.8902,0.8856,0.8894
06/09/2000,0.8822,0.8827,0.8694,0.8709
07/09/2000,0.8677,0.877,0.8677,0.874
08/09/2000,0.8734,0.874,0.8644,0.8699
11/09/2000,0.8604,0.863,0.8572,0.8589
12/09/2000,0.8613,0.8692,0.859,0.8629
13/09/2000,0.866,0.8671,0.8602,0.8615
14/09/2000,0.8698,0.87,0.8608,0.8647
15/09/2000,0.8606,0.8647,0.855,0.8556
18/09/2000,0.8536,0.8564,0.8531,0.856
19/09/2000,0.8581,0.8604,0.8515,0.8553
20/09/2000,0.851,0.8552,0.8478,0.8516
21/09/2000,0.8562,0.8631,0.8545,0.8619
22/09/2000,0.8937,0.8945,0.8813,0.8826
25/09/2000,0.8793,0.8805,0.8748,0.8763
26/09/2000,0.8793,0.8868,0.8792,0.8857
27/09/2000,0.8896,0.8905,0.8817,0.8869
28/09/2000,0.8863,0.8898,0.884,0.8851
29/09/2000,0.8793,0.8883,0.8786,0.8854
02/10/2000,0.8839,0.8857,0.8813,0.8817
03/10/2000,0.8794,0.8806,0.8762,0.8773
04/10/2000,0.877,0.8793,0.8748,0.8778
05/10/2000,0.8811,0.8816,0.8709,0.8721
06/10/2000,0.8738,0.8742,0.8695,0.8709
10/10/2000,0.8749,0.8751,0.8705,0.8743
11/10/2000,0.8747,0.877,0.8706,0.8716
12/10/2000,0.8678,0.8695,0.8639,0.8655
13/10/2000,0.8654,0.8677,0.8555,0.8564
16/10/2000,0.8532,0.856,0.8484,0.8521
17/10/2000,0.8522,0.8581,0.85,0.8579
18/10/2000,0.855,0.8599,0.8351,0.8406
19/10/2000,0.8436,0.8463,0.8403,0.8457
20/10/2000,0.8476,0.8478,0.8371,0.8441
23/10/2000,0.84,0.8417,0.837,0.8376
24/10/2000,0.8405,0.8413,0.8373,0.8391
25/10/2000,0.8334,0.8337,0.8268,0.8296
26/10/2000,0.8268,0.834,0.8259,0.8309
27/10/2000,0.8342,0.8462,0.8341,0.8417
30/10/2000,0.8503,0.8509,0.8432,0.8443
31/10/2000,0.8439,0.8518,0.8437,0.8508
01/11/2000,0.8574,0.8632,0.8552,0.8627
