Date,Open,High,Low,Close
24/11/1999,1411.75,1424.5,1402.5,1421.25
25/11/1999,1421.5,1427.25,1420,1427.25
26/11/1999,1421.5,1429,1407,1414.75
29/11/1999,1415,1420,1405.75,1411
30/11/1999,1410,1414.5,1390.75,1391.75
01/12/1999,1391.5,1404.25,1386.25,1402.75
02/12/1999,1402.5,1412.75,1400.5,1412
03/12/1999,1411.75,1452.25,1408.5,1437.75
06/12/1999,1437.75,1442,1421.25,1426
07/12/1999,1425,1431,1412,1414.75
08/12/1999,1415.25,1417.75,1403.5,1405
09/12/1999,1404.5,1422.25,1391.25,1411
10/12/1999,1411,1424.25,1406.5,1416.75
13/12/1999,1416.5,1423,1410.5,1417
14/12/1999,1415.25,1437.75,1401,1405.25
15/12/1999,1400.25,1417.5,1396.5,1409
16/12/1999,1409.75,1422,1408,1418.25
17/12/1999,1417,1426.75,1416,1425
20/12/1999,1441.5,1448.75,1429.25,1435.25
21/12/1999,1434.25,1456.25,1430.5,1454.5
22/12/1999,1454.25,1458.25,1445.25,1458.25
23/12/1999,1455.5,1481.25,1455.25,1480.25
27/12/1999,1478,1486.5,1469.5,1478.5
28/12/1999,1477.75,1482.25,1471,1478.25
29/12/1999,1478,1483.5,1476.25,1483
30/12/1999,1482.5,1499.5,1476.5,1480.75
31/12/1999,1480.75,1488.75,1476,1485
03/01/2000,1489,1496,1452.25,1466.75
04/01/2000,1467,1468.75,1409.5,1411.5
05/01/2000,1411.5,1427.25,1385,1413
06/01/2000,1411,1426.25,1395.75,1404.75
07/01/2000,1403.75,1461.5,1397.5,1459.75
10/01/2000,1459.75,1481,1454.25,1474.25
11/01/2000,1473.75,1475,1447,1454
12/01/2000,1453.5,1459.5,1438.75,1441.5
13/01/2000,1441.5,1466.75,1441.25,1459
14/01/2000,1461.5,1485,1455.5,1478.5
18/01/2000,1478,1480.25,1462,1469.25
19/01/2000,1468.75,1474,1450.25,1472.5
20/01/2000,1472.75,1485,1448,1456.25
21/01/2000,1455.25,1463.25,1449.25,1454.25
24/01/2000,1454,1468.5,1403.25,1412.75
25/01/2000,1411,1424.75,1397.5,1419
26/01/2000,1417.5,1422.75,1408.25,1416
27/01/2000,1412.5,1428.5,1388,1410.75
28/01/2000,1411,1420,1361.25,1367
31/01/2000,1365.25,1403,1357,1400.75
01/02/2000,1402.75,1421.75,1391.25,1416.75
02/02/2000,1416.75,1429.5,1410,1414.25
03/02/2000,1415.75,1438.25,1405.25,1435.75
04/02/2000,1436.5,1449.5,1426.5,1431.25
07/02/2000,1429.5,1433.25,1419,1427
08/02/2000,1427.25,1449.5,1425.5,1445.75
09/02/2000,1448,1454.75,1417,1418.5
10/02/2000,1418.75,1429.25,1412.25,1418.5
11/02/2000,1418.5,1426.5,1384.25,1396
14/02/2000,1396.25,1403.5,1386.75,1398.25
15/02/2000,1399,1414.75,1381,1409.25
16/02/2000,1410,1413.5,1390.25,1392.75
17/02/2000,1392.75,1407,1384.25,1385.5
18/02/2000,1386.75,1393.5,1349,1354
22/02/2000,1352.5,1363.75,1336.5,1348.5
23/02/2000,1349.25,1374.25,1344.5,1364
24/02/2000,1365,1370,1331,1355.5
25/02/2000,1355.75,1366.5,1331,1337.75
28/02/2000,1337.5,1366,1327.5,1348.5
29/02/2000,1349.25,1374,1348,1372
01/03/2000,1372.25,1388.75,1371,1384.5
02/03/2000,1384.25,1390.5,1372.5,1385
03/03/2000,1384.75,1414.5,1383.5,1410.5
06/03/2000,1411,1412.75,1386.25,1395
07/03/2000,1394.5,1404.5,1351,1351.75
08/03/2000,1352.75,1376,1348.5,1366
09/03/2000,1367,1405,1357.5,1404
10/03/2000,1403.25,1415.5,1394.25,1399
13/03/2000,1398,1415.75,1364.75,1383.75
14/03/2000,1380.25,1395.75,1359.5,1359.5
15/03/2000,1361.75,1398.75,1356.75,1395
16/03/2000,1396,1469,1395.75,1463.75
17/03/2000,1461.75,1465,1454.5,1455
20/03/2000,1462,1465,1452,1452
21/03/2000,1477.5,1514.25,1463.25,1507.75
22/03/2000,1508,1525.25,1504,1518
23/03/2000,1517.25,1553,1510,1544
24/03/2000,1542.75,1574.25,1535.25,1555.5
27/03/2000,1552.25,1554.5,1536,1539
28/03/2000,1540,1549.5,1523,1529.25
29/03/2000,1529.25,1541.25,1515,1530
30/03/2000,1529.5,1535,1493.5,1504.5
31/03/2000,1505.25,1538.75,1501,1517.5
03/04/2000,1514,1528.75,1502,1528.5
04/04/2000,1528.25,1544.75,1431,1518.25
05/04/2000,1518,1521.75,1491.25,1504.75
06/04/2000,1504,1530.75,1501.5,1516.5
07/04/2000,1516.5,1535,1513.75,1529.5
10/04/2000,1530.5,1544,1518,1521
11/04/2000,1520.25,1529.25,1497.5,1517.75
12/04/2000,1518.5,1524.5,1475,1476
13/04/2000,1476.5,1492.5,1451.25,1456
14/04/2000,1456.75,1466.75,1347,1367.25
17/04/2000,1366.75,1414.5,1342.25,1413.5
18/04/2000,1413.25,1455.5,1401,1452.5
19/04/2000,1450.25,1460,1435.25,1440.5
20/04/2000,1440,1447,1431.5,1446.75
24/04/2000,1442.75,1442.75,1417,1437.5
25/04/2000,1438.25,1489.75,1437.25,1489.5
26/04/2000,1488.25,1495.25,1467,1474
27/04/2000,1475,1480.75,1440.5,1468
28/04/2000,1468,1487.25,1458,1460.5
01/05/2000,1459,1492.75,1458,1476.75
02/05/2000,1476.5,1478.75,1449,1451.5
03/05/2000,1450.75,1451.5,1404.5,1422.5
04/05/2000,1424,1428.75,1411.5,1423.5
05/05/2000,1423.5,1446,1406,1440
08/05/2000,1438.5,1439.5,1424.5,1430.75
09/05/2000,1430.25,1439.75,1409.5,1419.25
10/05/2000,1418.75,1425.75,1383,1388.75
11/05/2000,1388.25,1419,1382.5,1415.5
12/05/2000,1418,1438.75,1414.25,1431.25
15/05/2000,1429.5,1459.5,1423.25,1457.5
16/05/2000,1457.5,1478.75,1456.25,1471.75
17/05/2000,1470.75,1470.75,1448.25,1456.75
18/05/2000,1456,1465.75,1441.5,1441.75
19/05/2000,1441.75,1447,1407,1415.5
22/05/2000,1413,1423.25,1372.5,1404.5
23/05/2000,1404,1411.5,1378.75,1382.5
24/05/2000,1382,1408,1365.5,1402.25
25/05/2000,1404,1417.75,1378,1389.25
26/05/2000,1388,1396.5,1373.25,1382.25
29/05/2000,1383.5,1390,1381.5,1387
30/05/2000,1383.5,1428.75,1381.5,1427.25
31/05/2000,1427.25,1439,1419.5,1422
01/06/2000,1422,1453.75,1420.25,1451.75
02/06/2000,1450.75,1492,1447,1475.5
05/06/2000,1477,1480.5,1467.75,1472
06/06/2000,1471.25,1476.75,1457.25,1461.5
07/06/2000,1463.5,1477.5,1457.5,1472.5
08/06/2000,1472,1477.75,1458.25,1465.5
09/06/2000,1466,1484,1455.5,1461
12/06/2000,1461.75,1467.75,1446,1447.5
13/06/2000,1445,1473,1442.75,1471.5
14/06/2000,1474.25,1483.75,1467.5,1475
15/06/2000,1474,1487.5,1464.25,1473.75
16/06/2000,1477,1485.75,1476.5,1478
19/06/2000,1477,1486,1476,1478
20/06/2000,1477,1486,1476,1478
21/06/2000,1477,1486,1476,1478
22/06/2000,1498,1499.75,1468.5,1476.25
23/06/2000,1475.5,1479.5,1457,1464
26/06/2000,1463.5,1480.25,1463.5,1478.25
27/06/2000,1479.25,1484.25,1469.5,1470.25
28/06/2000,1471,1488,1470,1472.25
29/06/2000,1471.75,1473.75,1451,1459.25
30/06/2000,1456.5,1471,1455,1470.5
03/07/2000,1472.25,1490.75,1467.5,1490.5
04/07/2000,1489.75,1490.5,1485.25,1487
05/07/2000,1489.75,1493.25,1458.5,1463
06/07/2000,1463.5,1479,1456.25,1474
07/07/2000,1474.25,1502.25,1473.25,1494.5
10/07/2000,1494,1502.75,1490,1491.75
11/07/2000,1491,1505.5,1486,1495
12/07/2000,1497,1514.75,1497,1505.75
13/07/2000,1506.25,1516.75,1502.5,1510.5
14/07/2000,1510,1526,1509.5,1524
17/07/2000,1523.25,1533,1519.5,1522.25
18/07/2000,1521.5,1524.5,1506,1512.25
19/07/2000,1512,1514,1493.25,1500.5
20/07/2000,1500.5,1517.25,1498,1516.25
21/07/2000,1515.75,1516.25,1488.5,1488.75
24/07/2000,1489.25,1499.5,1476.25,1480.75
25/07/2000,1480.75,1488,1477.75,1484.75
26/07/2000,1484.75,1485.25,1466,1470
27/07/2000,1468,1475.75,1456,1463.5
28/07/2000,1463.25,1469,1423.5,1431.25
31/07/2000,1431.5,1449.25,1428.75,1438.75
01/08/2000,1439.5,1454.5,1437,1447.25
02/08/2000,1447,1461.75,1442.5,1452.5
03/08/2000,1450.75,1465,1433.25,1462
04/08/2000,1462,1473.5,1459,1471.5
07/08/2000,1471.25,1490.5,1469.5,1486.5
08/08/2000,1486.25,1494.25,1479,1492.5
09/08/2000,1492.5,1499.5,1479.25,1480.5
10/08/2000,1481.25,1484.75,1468.25,1473.25
11/08/2000,1473.25,1484.75,1460.5,1478.75
14/08/2000,1479.25,1499.5,1475.75,1498.25
15/08/2000,1498,1501,1491,1494.75
16/08/2000,1494,1502.75,1482,1491.75
17/08/2000,1491.75,1507,1486.5,1503.5
18/08/2000,1503.5,1508,1495,1500.5
21/08/2000,1501,1509.75,1497.25,1507
22/08/2000,1507,1514.75,1503,1507.25
23/08/2000,1507.5,1513.5,1494.75,1510
24/08/2000,1510.5,1516.25,1506.25,1515
25/08/2000,1515.25,1519,1510,1513
28/08/2000,1513.5,1530,1511,1519
29/08/2000,1519,1519.5,1509.25,1517.5
30/08/2000,1518.5,1519,1503.25,1503.75
31/08/2000,1504.5,1529.5,1503.75,1521.75
01/09/2000,1522.75,1540,1519.25,1523.25
04/09/2000,1523,1526.75,1521.5,1526.75
05/09/2000,1523,1557.5,1506.5,1512
06/09/2000,1512.25,1515,1492.75,1494.25
07/09/2000,1494,1507.75,1493.5,1507.25
08/09/2000,1506.25,1506.5,1491,1496.75
11/09/2000,1497,1508.75,1484,1490
12/09/2000,1492,1498.25,1481,1481.75
13/09/2000,1482.5,1496.5,1473,1484.5
14/09/2000,1485.75,1495,1477.5,1482.25
15/09/2000,1481.25,1487.5,1470,1479
18/09/2000,1485.25,1489.75,1462.25,1467.5
19/09/2000,1467,1482.75,1466.75,1478.5
20/09/2000,1478.75,1480.5,1450.25,1469.5
21/09/2000,1470.25,1474,1455.5,1469.25
22/09/2000,1454.75,1471,1436.75,1468.5
25/09/2000,1469.5,1477.75,1455.5,1460.25
26/09/2000,1461,1467,1443.25,1443.25
27/09/2000,1444,1456,1438.25,1445.75
28/09/2000,1447.75,1481,1445,1476
29/09/2000,1473,1473.25,1454,1454
02/10/2000,1453.75,1464.25,1447.5,1456
03/10/2000,1457.25,1474,1438.75,1439.25
04/10/2000,1442,1457.25,1432.5,1450.5
05/10/2000,1449.5,1462,1447.25,1455
06/10/2000,1456,1460.5,1411.5,1425
09/10/2000,1425.25,1426.75,1408,1416.5
10/10/2000,1417.5,1424.5,1390,1391
11/10/2000,1393.5,1398,1361.75,1378.5
12/10/2000,1379.5,1387.75,1339,1344
13/10/2000,1346.25,1387.75,1339.5,1386.25
16/10/2000,1386,1393.75,1378.25,1392
17/10/2000,1391,1395.5,1355,1360
18/10/2000,1362.75,1372,1324,1368.75
19/10/2000,1356,1404,1356,1401.75
20/10/2000,1402,1422,1394.5,1410.75
23/10/2000,1411,1419.75,1399.75,1416.25
24/10/2000,1415.25,1428.75,1399,1404.25
25/10/2000,1405.25,1405.5,1370.5,1374
26/10/2000,1374.75,1384.25,1348.5,1371
27/10/2000,1370,1402,1368,1400
30/10/2000,1398,1419.5,1387,1412.75
31/10/2000,1413.25,1445.5,1408.25,1440.75
01/11/2000,1441,1441,1419.5,1432.5
02/11/2000,1432.25,1444.5,1430,1435.25
03/11/2000,1434.25,1444.5,1430.5,1436.75
