Date,Open,High,Low,Close
24/11/1999,0.787,0.794,0.786,0.7895
29/11/1999,0.799,0.802,0.791,0.7955
30/11/1999,0.796,0.801,0.793,0.8
01/12/1999,0.796,0.7975,0.783,0.789
02/12/1999,0.7825,0.785,0.7755,0.784
03/12/1999,0.783,0.7995,0.7825,0.7985
06/12/1999,0.8,0.8,0.793,0.8
07/12/1999,0.793,0.793,0.7815,0.788
08/12/1999,0.7875,0.7905,0.785,0.7855
09/12/1999,0.79,0.792,0.785,0.79
10/12/1999,0.788,0.7885,0.782,0.783
13/12/1999,0.782,0.79,0.782,0.789
14/12/1999,0.7885,0.796,0.788,0.795
15/12/1999,0.804,0.8235,0.803,0.8235
16/12/1999,0.825,0.826,0.821,0.826
17/12/1999,0.833,0.835,0.825,0.8305
20/12/1999,0.8265,0.8315,0.824,0.8315
21/12/1999,0.829,0.829,0.8185,0.8185
22/12/1999,0.825,0.84,0.825,0.8385
23/12/1999,0.8375,0.8415,0.837,0.837
27/12/1999,0.84,0.841,0.838,0.8385
28/12/1999,0.84,0.842,0.837,0.837
29/12/1999,0.8405,0.8485,0.8405,0.848
30/12/1999,0.848,0.8525,0.845,0.8525
04/01/2000,0.8445,0.846,0.836,0.838
05/01/2000,0.835,0.8475,0.8315,0.8475
06/01/2000,0.84,0.845,0.84,0.845
07/01/2000,0.843,0.85,0.843,0.8455
10/01/2000,0.8435,0.8435,0.8385,0.8395
11/01/2000,0.839,0.841,0.838,0.838
12/01/2000,0.846,0.859,0.846,0.859
13/01/2000,0.857,0.857,0.849,0.849
14/01/2000,0.851,0.8555,0.851,0.8545
18/01/2000,0.849,0.861,0.846,0.86
19/01/2000,0.864,0.875,0.864,0.875
20/01/2000,0.8725,0.873,0.8635,0.866
21/01/2000,0.867,0.867,0.864,0.8665
24/01/2000,0.858,0.858,0.85,0.85
25/01/2000,0.852,0.881,0.836,0.837
26/01/2000,0.8395,0.841,0.83,0.8365
27/01/2000,0.8325,0.8375,0.828,0.8375
28/01/2000,0.848,0.852,0.8335,0.835
31/01/2000,0.8335,0.85,0.8325,0.8495
01/02/2000,0.847,0.854,0.8355,0.843
02/02/2000,0.84,0.841,0.818,0.8225
03/02/2000,0.82,0.827,0.8155,0.826
04/02/2000,0.817,0.8285,0.8125,0.8275
07/02/2000,0.827,0.8275,0.819,0.827
08/02/2000,0.8255,0.8265,0.817,0.82
09/02/2000,0.821,0.825,0.817,0.822
10/02/2000,0.832,0.852,0.8315,0.8495
11/02/2000,0.851,0.852,0.8445,0.845
14/02/2000,0.842,0.8445,0.8355,0.844
15/02/2000,0.844,0.846,0.821,0.827
16/02/2000,0.824,0.83,0.8205,0.828
17/02/2000,0.829,0.836,0.8225,0.836
18/02/2000,0.838,0.841,0.831,0.832
22/02/2000,0.825,0.828,0.818,0.8275
23/02/2000,0.8285,0.84,0.828,0.839
24/02/2000,0.844,0.847,0.833,0.834
25/02/2000,0.829,0.83,0.8145,0.815
28/02/2000,0.798,0.8005,0.779,0.781
29/02/2000,0.788,0.788,0.769,0.787
01/03/2000,0.79,0.799,0.782,0.7915
02/03/2000,0.789,0.79,0.7825,0.786
03/03/2000,0.787,0.794,0.7805,0.7915
06/03/2000,0.789,0.796,0.788,0.7935
07/03/2000,0.7975,0.7985,0.7825,0.784
08/03/2000,0.7785,0.782,0.7745,0.7785
09/03/2000,0.7805,0.7885,0.78,0.7885
10/03/2000,0.788,0.7935,0.7805,0.7815
13/03/2000,0.7805,0.783,0.7755,0.78
14/03/2000,0.789,0.7975,0.789,0.7935
15/03/2000,0.7965,0.805,0.7945,0.8015
16/03/2000,0.8035,0.8105,0.799,0.8105
17/03/2000,0.804,0.811,0.804,0.8055
20/03/2000,0.804,0.81,0.799,0.799
21/03/2000,0.8025,0.812,0.8025,0.81
22/03/2000,0.8145,0.817,0.809,0.809
23/03/2000,0.807,0.8115,0.8045,0.811
24/03/2000,0.8105,0.8105,0.8035,0.8045
27/03/2000,0.795,0.795,0.791,0.795
28/03/2000,0.7965,0.7995,0.7935,0.798
29/03/2000,0.7935,0.8005,0.7935,0.8005
30/03/2000,0.8065,0.814,0.806,0.8075
31/03/2000,0.8015,0.8065,0.798,0.805
03/04/2000,0.794,0.803,0.788,0.8025
04/04/2000,0.797,0.802,0.792,0.793
05/04/2000,0.791,0.797,0.789,0.791
06/04/2000,0.776,0.776,0.762,0.7635
07/04/2000,0.765,0.7695,0.7585,0.7685
10/04/2000,0.7725,0.777,0.766,0.7755
11/04/2000,0.776,0.784,0.774,0.78
12/04/2000,0.776,0.781,0.773,0.7775
13/04/2000,0.77,0.775,0.7675,0.77
14/04/2000,0.7625,0.764,0.7515,0.7535
17/04/2000,0.7425,0.751,0.7425,0.7435
18/04/2000,0.758,0.767,0.7545,0.7645
19/04/2000,0.766,0.774,0.7655,0.769
20/04/2000,0.765,0.772,0.7645,0.766
24/04/2000,0.764,0.766,0.757,0.766
25/04/2000,0.769,0.79,0.768,0.7895
26/04/2000,0.787,0.792,0.7825,0.783
27/04/2000,0.782,0.789,0.777,0.788
28/04/2000,0.789,0.801,0.788,0.79
01/05/2000,0.7925,0.795,0.791,0.795
02/05/2000,0.799,0.8205,0.799,0.8175
03/05/2000,0.82,0.82,0.8095,0.8155
04/05/2000,0.812,0.823,0.812,0.82
05/05/2000,0.832,0.842,0.831,0.838
08/05/2000,0.839,0.843,0.83,0.8335
09/05/2000,0.825,0.832,0.8235,0.8265
10/05/2000,0.8345,0.838,0.822,0.8245
11/05/2000,0.8235,0.83,0.8235,0.826
12/05/2000,0.843,0.844,0.8385,0.84
15/05/2000,0.84,0.8425,0.835,0.8355
16/05/2000,0.841,0.8485,0.841,0.846
17/05/2000,0.8455,0.847,0.839,0.839
18/05/2000,0.846,0.851,0.842,0.842
19/05/2000,0.84,0.841,0.836,0.84
22/05/2000,0.84,0.84,0.8275,0.8285
23/05/2000,0.833,0.835,0.8285,0.831
