Date,Open,High,Low,Close
24/11/1999,9605,9621,9572,9596
26/11/1999,9650,9875,9650,9863
29/11/1999,9823,9863,9782,9802
30/11/1999,9821,9873,9790,9833
01/12/1999,9778,9812,9749,9756
02/12/1999,9778,9781,9746,9756
03/12/1999,9782,9800,9743,9750
06/12/1999,9738,9754,9677,9715
07/12/1999,9755,9792,9755,9779
08/12/1999,9710,9733,9701,9726
09/12/1999,9755,9780,9728,9768
10/12/1999,9775,9790,9752,9775
13/12/1999,9745,9745,9691,9691
14/12/1999,9777,9817,9777,9802
15/12/1999,9797,9807,9781,9782
16/12/1999,9848,9862,9826,9838
17/12/1999,9808,9834,9801,9825
20/12/1999,9855,9909,9842,9893
21/12/1999,9913,9950,9910,9917
22/12/1999,9955,9982,9946,9956
23/12/1999,9955,9964,9920,9944
27/12/1999,9877,9918,9874,9887
28/12/1999,9898,9920,9878,9880
29/12/1999,9886,9935,9880,9898
30/12/1999,9897,9897,9855,9864
31/12/1999,9873,9905,9853,9892
03/01/2000,9935,9974,9925,9964
04/01/2000,9832,9832,9786,9791
05/01/2000,9755,9764,9682,9683
06/01/2000,9649,9650,9566,9578
07/01/2000,9609,9623,9535,9596
10/01/2000,9633,9633,9582,9606
11/01/2000,9520,9560,9498,9535
12/01/2000,9540,9560,9518,9533
13/01/2000,9524,9525,9497,9507
14/01/2000,9548,9563,9500,9547
18/01/2000,9568,9577,9545,9548
19/01/2000,9528,9594,9526,9577
20/01/2000,9557,9586,9550,9577
21/01/2000,9650,9652,9598,9620
24/01/2000,9578,9579,9520,9544
25/01/2000,9536,9539,9501,9517
26/01/2000,9518,9539,9498,9530
27/01/2000,9528,9625,9521,9595
28/01/2000,9555,9583,9385,9405
31/01/2000,9423,9442,9360,9368
01/02/2000,9343,9365,9325,9335
02/02/2000,9278,9312,9267,9299
03/02/2000,9262,9395,9252,9339
04/02/2000,9330,9389,9317,9375
07/02/2000,9255,9291,9237,9243
08/02/2000,9229,9238,9163,9194
09/02/2000,9227,9254,9187,9208
10/02/2000,9257,9265,9216,9225
11/02/2000,9160,9233,9152,9228
14/02/2000,9273,9275,9226,9233
15/02/2000,9225,9259,9199,9204
16/02/2000,9199,9200,9156,9178
17/02/2000,9100,9121,9066,9076
18/02/2000,9053,9063,9018,9044
22/02/2000,9047,9075,9030,9061
23/02/2000,9034,9043,9007,9011
24/02/2000,9056,9067,9016,9028
25/02/2000,9040,9102,9005,9100
28/02/2000,9187,9215,9141,9173
29/02/2000,9114,9147,9098,9100
01/03/2000,9256,9410,9250,9356
02/03/2000,9336,9343,9277,9300
03/03/2000,9284,9317,9273,9285
06/03/2000,9328,9331,9287,9310
07/03/2000,9324,9460,9308,9434
08/03/2000,9342,9375,9336,9351
09/03/2000,9390,9420,9375,9390
10/03/2000,9403,9426,9385,9421
13/03/2000,9500,9540,9492,9527
14/03/2000,9693,9714,9667,9673
15/03/2000,9632,9648,9617,9624
16/03/2000,9641,9647,9597,9620
17/03/2000,9599,9618,9510,9516
20/03/2000,9513,9555,9504,9551
21/03/2000,9516,9520,9467,9483
22/03/2000,9474,9515,9473,9493
23/03/2000,9425,9467,9410,9447
24/03/2000,9463,9490,9452,9480
27/03/2000,9504,9511,9465,9502
28/03/2000,9553,9598,9545,9579
29/03/2000,9626,9633,9579,9603
30/03/2000,9639,9645,9597,9606
31/03/2000,9820,9936,9816,9908
03/04/2000,9660,9693,9630,9663
04/04/2000,9589,9734,9577,9661
05/04/2000,9636,9668,9625,9654
06/04/2000,9639,9675,9637,9662
07/04/2000,9614,9625,9590,9599
10/04/2000,9514,9516,9473,9504
11/04/2000,9465,9472,9444,9446
12/04/2000,9581,9581,9524,9556
13/04/2000,9536,9574,9530,9556
14/04/2000,9561,9650,9556,9637
17/04/2000,9751,9752,9677,9692
18/04/2000,9697,9711,9646,9648
19/04/2000,9670,9695,9617,9641
20/04/2000,9622,9632,9568,9581
24/04/2000,9578,9607,9542,9547
25/04/2000,9565,9579,9520,9540
26/04/2000,9485,9518,9450,9497
27/04/2000,9473,9530,9458,9485
28/04/2000,9400,9416,9315,9318
01/05/2000,9331,9337,9235,9255
02/05/2000,9272,9298,9249,9285
03/05/2000,9205,9253,9201,9225
04/05/2000,9265,9360,9260,9321
05/05/2000,9307,9320,9270,9287
08/05/2000,9278,9279,9240,9245
09/05/2000,9211,9215,9185,9202
10/05/2000,9252,9272,9193,9201
11/05/2000,9278,9310,9255,9272
12/05/2000,9258,9293,9225,9282
15/05/2000,9203,9224,9180,9186
16/05/2000,9229,9242,9153,9196
17/05/2000,9160,9218,9142,9196
18/05/2000,9208,9267,9207,9245
19/05/2000,9334,9455,9332,9413
22/05/2000,9365,9405,9353,9389
23/05/2000,9417,9445,9403,9426
24/05/2000,9367,9390,9307,9318
25/05/2000,9323,9348,9307,9341
26/05/2000,9346,9420,9338,9386
30/05/2000,9410,9465,9403,9419
31/05/2000,9337,9353,9295,9315
01/06/2000,9219,9248,9200,9239
02/06/2000,9228,9315,9225,9257
05/06/2000,9319,9347,9298,9309
06/06/2000,9404,9525,9393,9488
07/06/2000,9485,9514,9466,9498
08/06/2000,9484,9490,9430,9435
09/06/2000,9369,9395,9358,9373
12/06/2000,9383,9413,9368,9379
13/06/2000,9400,9426,9360,9364
14/06/2000,9406,9410,9355,9379
15/06/2000,9434,9434,9377,9383
16/06/2000,9408,9428,9400,9417
19/06/2000,9465,9470,9440,9445
20/06/2000,9632,9663,9616,9642
21/06/2000,9654,9655,9622,9629
22/06/2000,9634,9760,9630,9730
23/06/2000,9743,9774,9692,9702
26/06/2000,9613,9634,9600,9605
27/06/2000,9614,9646,9603,9645
28/06/2000,9602,9635,9595,9617
29/06/2000,9682,9694,9640,9656
30/06/2000,9634,9640,9527,9577
03/07/2000,9582,9600,9565,9596
05/07/2000,9498,9500,9453,9467
06/07/2000,9437,9452,9423,9426
07/07/2000,9421,9440,9384,9386
10/07/2000,9472,9477,9443,9449
11/07/2000,9468,9483,9450,9454
12/07/2000,9394,9399,9330,9341
13/07/2000,9443,9456,9335,9344
14/07/2000,9370,9405,9327,9372
17/07/2000,9300,9337,9295,9332
18/07/2000,9362,9370,9321,9332
19/07/2000,9361,9380,9320,9331
20/07/2000,9340,9418,9333,9386
21/07/2000,9306,9319,9251,9279
24/07/2000,9268,9296,9254,9290
25/07/2000,9244,9257,9238,9244
26/07/2000,9251,9255,9234,9240
27/07/2000,9272,9277,9233,9242
28/07/2000,9242,9244,9189,9207
31/07/2000,9222,9230,9193,9224
01/08/2000,9199,9260,9195,9254
02/08/2000,9232,9279,9227,9248
03/08/2000,9308,9341,9285,9295
04/08/2000,9303,9324,9277,9286
07/08/2000,9255,9260,9229,9231
08/08/2000,9290,9297,9264,9269
09/08/2000,9339,9340,9309,9337
10/08/2000,9290,9293,9236,9248
11/08/2000,9248,9293,9237,9256
14/08/2000,9195,9200,9179,9187
15/08/2000,9195,9240,9193,9216
16/08/2000,9268,9287,9250,9258
17/08/2000,9267,9278,9252,9260
18/08/2000,9230,9300,9216,9265
21/08/2000,9282,9288,9237,9246
22/08/2000,9267,9283,9253,9277
23/08/2000,9365,9403,9358,9385
24/08/2000,9363,9410,9362,9399
25/08/2000,9380,9412,9362,9388
28/08/2000,9428,9448,9415,9424
29/08/2000,9428,9465,9410,9462
30/08/2000,9423,9434,9400,9432
31/08/2000,9426,9432,9387,9396
01/09/2000,9419,9500,9411,9478
05/09/2000,9454,9475,9443,9469
06/09/2000,9475,9487,9445,9465
07/09/2000,9526,9561,9514,9535
08/09/2000,9479,9480,9422,9436
11/09/2000,9422,9451,9422,9441
12/09/2000,9405,9405,9350,9362
13/09/2000,9335,9348,9319,9337
14/09/2000,9340,9343,9296,9297
15/09/2000,9293,9330,9285,9322
18/09/2000,9350,9360,9348,9357
19/09/2000,9496,9507,9477,9496
20/09/2000,9530,9544,9506,9523
21/09/2000,9537,9547,9508,9513
22/09/2000,9420,9470,9380,9388
25/09/2000,9421,9447,9408,9416
26/09/2000,9455,9464,9413,9426
