Date,Open,High,Low,Close
24/11/1999,2.205,2.245,2.08,2.12
29/11/1999,2.33,2.42,2.33,2.352
30/11/1999,2.41,2.429,2.265,2.304
01/12/1999,2.38,2.4,2.315,2.393
02/12/1999,2.37,2.485,2.345,2.461
03/12/1999,2.41,2.45,2.325,2.331
06/12/1999,2.265,2.31,2.22,2.224
07/12/1999,2.22,2.275,2.21,2.271
08/12/1999,2.29,2.315,2.265,2.288
09/12/1999,2.3,2.32,2.235,2.285
10/12/1999,2.365,2.48,2.34,2.446
13/12/1999,2.435,2.525,2.43,2.509
14/12/1999,2.55,2.61,2.52,2.585
15/12/1999,2.58,2.62,2.465,2.486
16/12/1999,2.535,2.66,2.535,2.636
17/12/1999,2.64,2.68,2.59,2.655
20/12/1999,2.68,2.715,2.57,2.629
21/12/1999,2.605,2.62,2.49,2.522
22/12/1999,2.47,2.475,2.405,2.444
23/12/1999,2.44,2.46,2.39,2.399
27/12/1999,2.37,2.37,2.26,2.271
28/12/1999,2.32,2.41,2.28,2.344
29/12/1999,2.38,2.43,2.36,2.394
30/12/1999,2.37,2.37,2.305,2.329
04/01/2000,2.18,2.2,2.13,2.176
05/01/2000,2.18,2.2,2.125,2.168
06/01/2000,2.175,2.22,2.165,2.196
07/01/2000,2.21,2.23,2.155,2.173
10/01/2000,2.18,2.255,2.165,2.216
11/01/2000,2.25,2.265,2.205,2.26
12/01/2000,2.28,2.285,2.19,2.244
13/01/2000,2.28,2.29,2.235,2.252
14/01/2000,2.28,2.35,2.27,2.322
18/01/2000,2.36,2.39,2.335,2.383
19/01/2000,2.39,2.465,2.37,2.417
20/01/2000,2.47,2.58,2.47,2.559
21/01/2000,2.61,2.635,2.42,2.485
24/01/2000,2.53,2.57,2.49,2.528
25/01/2000,2.6,2.63,2.575,2.616
26/01/2000,2.67,2.67,2.5,2.523
27/01/2000,2.54,2.68,2.52,2.61
28/01/2000,2.56,2.66,2.5,2.532
31/01/2000,2.575,2.675,2.565,2.662
01/02/2000,2.69,2.745,2.635,2.699
02/02/2000,2.77,2.78,2.7,2.759
03/02/2000,2.71,2.77,2.63,2.659
04/02/2000,2.62,2.75,2.62,2.742
07/02/2000,2.695,2.715,2.55,2.562
08/02/2000,2.53,2.555,2.475,2.495
09/02/2000,2.52,2.565,2.52,2.54
10/02/2000,2.57,2.61,2.525,2.592
11/02/2000,2.615,2.665,2.56,2.57
14/02/2000,2.53,2.56,2.515,2.541
15/02/2000,2.56,2.625,2.545,2.618
16/02/2000,2.615,2.62,2.555,2.564
17/02/2000,2.59,2.675,2.585,2.667
18/02/2000,2.61,2.665,2.595,2.633
22/02/2000,2.555,2.57,2.49,2.515
23/02/2000,2.485,2.545,2.465,2.53
24/02/2000,2.525,2.56,2.505,2.549
25/02/2000,2.54,2.64,2.53,2.603
28/02/2000,2.59,2.72,2.585,2.686
29/02/2000,2.675,2.77,2.66,2.761
01/03/2000,2.745,2.835,2.725,2.815
02/03/2000,2.82,2.865,2.75,2.783
03/03/2000,2.76,2.83,2.75,2.825
06/03/2000,2.795,2.86,2.78,2.85
07/03/2000,2.87,2.88,2.775,2.799
08/03/2000,2.785,2.8,2.707,2.71
09/03/2000,2.71,2.795,2.67,2.786
10/03/2000,2.81,2.835,2.765,2.774
13/03/2000,2.81,2.875,2.81,2.86
14/03/2000,2.85,2.86,2.79,2.809
15/03/2000,2.785,2.885,2.75,2.866
16/03/2000,2.86,2.9,2.825,2.851
17/03/2000,2.845,2.85,2.78,2.785
20/03/2000,2.76,2.775,2.71,2.714
21/03/2000,2.74,2.77,2.73,2.751
22/03/2000,2.78,2.815,2.765,2.794
23/03/2000,2.775,2.85,2.74,2.847
24/03/2000,2.845,2.87,2.815,2.836
27/03/2000,2.83,2.935,2.81,2.914
28/03/2000,2.945,2.98,2.91,2.963
29/03/2000,2.95,2.965,2.86,2.9
30/03/2000,2.85,2.895,2.845,2.873
31/03/2000,2.915,2.955,2.895,2.945
03/04/2000,2.94,2.945,2.88,2.889
04/04/2000,2.86,2.93,2.815,2.822
05/04/2000,2.84,2.9,2.82,2.888
06/04/2000,2.92,2.96,2.92,2.956
07/04/2000,2.985,3.015,2.935,2.971
10/04/2000,2.97,3.025,2.955,2.971
11/04/2000,2.96,2.98,2.94,2.949
12/04/2000,2.96,3.03,2.95,3.021
13/04/2000,3.055,3.105,3.045,3.087
14/04/2000,3.065,3.1,3.05,3.078
17/04/2000,3.11,3.175,3.11,3.158
18/04/2000,3.15,3.165,3.065,3.098
19/04/2000,3.105,3.145,3.05,3.055
20/04/2000,3.06,3.085,3.045,3.073
24/04/2000,3.11,3.15,3.11,3.137
25/04/2000,3.155,3.16,3.085,3.11
26/04/2000,3.12,3.13,3.075,3.089
27/04/2000,3.055,3.075,3.04,3.055
28/04/2000,3.06,3.165,3.06,3.141
01/05/2000,3.175,3.235,3.165,3.216
02/05/2000,3.23,3.24,3.165,3.217
03/05/2000,3.185,3.235,3.125,3.126
04/05/2000,3.09,3.11,3.05,3.107
05/05/2000,3.125,3.13,3.01,3.025
08/05/2000,3.065,3.18,3.05,3.17
09/05/2000,3.2,3.23,3.165,3.183
10/05/2000,3.175,3.325,3.15,3.317
11/05/2000,3.325,3.385,3.31,3.352
12/05/2000,3.32,3.369,3.31,3.354
15/05/2000,3.33,3.42,3.315,3.396
16/05/2000,3.425,3.475,3.41,3.448
17/05/2000,3.455,3.73,3.45,3.689
18/05/2000,3.695,3.74,3.63,3.71
19/05/2000,3.755,3.84,3.735,3.825
22/05/2000,3.94,3.985,3.72,3.747
23/05/2000,3.81,3.825,3.74,3.814
24/05/2000,3.88,4.1,3.855,4.073
25/05/2000,4.12,4.25,4.08,4.236
26/05/2000,4.27,4.5,4.23,4.406
30/05/2000,4.32,4.36,4.23,4.354
31/05/2000,4.45,4.555,4.345,4.356
01/06/2000,4.365,4.37,3.8,4.064
02/06/2000,4.13,4.16,3.93,4.043
05/06/2000,4.08,4.41,4.05,4.398
06/06/2000,4.465,4.505,4.245,4.294
07/06/2000,4.21,4.22,3.93,3.945
08/06/2000,3.92,4.17,3.83,4.133
09/06/2000,4.08,4.24,4.08,4.16
12/06/2000,4.18,4.27,4.09,4.212
13/06/2000,4.24,4.265,4.115,4.158
14/06/2000,4.1,4.315,4.09,4.256
15/06/2000,4.33,4.48,4.285,4.463
16/06/2000,4.43,4.58,4.415,4.488
19/06/2000,4.45,4.45,4.05,4.063
20/06/2000,4,4.22,3.96,4.107
21/06/2000,4.11,4.39,4.095,4.378
22/06/2000,4.43,4.59,4.395,4.551
23/06/2000,4.48,4.53,4.395,4.448
26/06/2000,4.35,4.57,4.31,4.56
27/06/2000,4.65,4.715,4.62,4.686
28/06/2000,4.595,4.62,4.3,4.369
29/06/2000,4.345,4.47,4.22,4.423
30/06/2000,4.41,4.49,4.41,4.476
05/07/2000,4.27,4.28,4.07,4.109
06/07/2000,4.01,4.2,3.98,4.066
07/07/2000,4.03,4.31,3.97,4.262
10/07/2000,4.19,4.295,4.17,4.228
11/07/2000,4.18,4.28,4.14,4.257
12/07/2000,4.3,4.36,3.91,4.031
13/07/2000,4.04,4.195,4.025,4.166
14/07/2000,4.14,4.23,4.14,4.15
17/07/2000,4.135,4.135,3.99,4.002
18/07/2000,3.95,4.12,3.92,4.044
19/07/2000,4.04,4.09,3.87,3.884
20/07/2000,3.86,3.885,3.79,3.86
21/07/2000,3.88,3.93,3.82,3.834
24/07/2000,3.75,3.78,3.695,3.715
25/07/2000,3.66,3.695,3.64,3.66
26/07/2000,3.62,3.85,3.61,3.763
27/07/2000,3.81,3.87,3.78,3.82
28/07/2000,3.93,3.985,3.84,3.845
31/07/2000,3.8,3.839,3.77,3.774
01/08/2000,3.775,4.03,3.775,3.987
02/08/2000,4.06,4.22,4,4.214
03/08/2000,4.23,4.29,4.18,4.25
04/08/2000,4.29,4.39,4.26,4.296
07/08/2000,4.38,4.43,4.345,4.348
08/08/2000,4.45,4.48,4.39,4.409
09/08/2000,4.45,4.565,4.39,4.419
10/08/2000,4.41,4.475,4.36,4.468
11/08/2000,4.455,4.48,4.395,4.475
14/08/2000,4.435,4.445,4.305,4.318
15/08/2000,4.27,4.29,4.21,4.234
16/08/2000,4.25,4.435,4.235,4.413
17/08/2000,4.4,4.48,4.38,4.406
18/08/2000,4.43,4.465,4.395,4.436
21/08/2000,4.54,4.76,4.53,4.747
22/08/2000,4.81,4.85,4.5,4.52
23/08/2000,4.7,4.79,4.565,4.605
24/08/2000,4.49,4.55,4.41,4.54
25/08/2000,4.6,4.635,4.53,4.628
28/08/2000,4.61,4.775,4.57,4.685
29/08/2000,4.65,4.68,4.57,4.618
30/08/2000,4.65,4.81,4.63,4.801
31/08/2000,4.82,4.865,4.74,4.782
01/09/2000,4.75,4.86,4.75,4.835
05/09/2000,4.85,4.975,4.84,4.95
06/09/2000,4.99,5.1,4.96,5.071
07/09/2000,4.96,5.04,4.89,4.998
08/09/2000,4.91,4.925,4.845,4.88
11/09/2000,4.91,5.095,4.9,5.011
12/09/2000,5.06,5.06,4.96,5.008
13/09/2000,5.08,5.17,4.92,5.055
14/09/2000,5.1,5.223,5.08,5.195
15/09/2000,5.28,5.34,5.17,5.206
18/09/2000,5.11,5.31,5.08,5.295
19/09/2000,5.27,5.385,5.23,5.363
20/09/2000,5.34,5.38,5.26,5.318
21/09/2000,5.27,5.33,5.21,5.287
22/09/2000,5.23,5.32,5.105,5.131
25/09/2000,5.1,5.305,5.09,5.265
26/09/2000,5.34,5.445,5.28,5.324
27/09/2000,5.41,5.425,5.28,5.312
28/09/2000,5.39,5.395,5.1,5.124
29/09/2000,5.28,5.29,5.13,5.186
02/10/2000,5.3,5.365,5.26,5.352
03/10/2000,5.35,5.38,5.29,5.348
04/10/2000,5.28,5.295,5.15,5.29
05/10/2000,5.3,5.32,5.05,5.152
06/10/2000,5.11,5.12,4.98,5.008
09/10/2000,5.07,5.165,5.015,5.15
10/10/2000,5.13,5.155,5.1,5.134
11/10/2000,5.18,5.53,5.165,5.508
12/10/2000,5.52,5.78,5.52,5.63
13/10/2000,5.57,5.59,5.49,5.537
16/10/2000,5.45,5.48,5.355,5.364
17/10/2000,5.35,5.46,5.335,5.439
18/10/2000,5.48,5.5,5.2,5.228
19/10/2000,5.14,5.175,4.92,4.951
20/10/2000,4.98,5,4.87,4.937
23/10/2000,4.94,5.115,4.86,5.072
24/10/2000,4.995,5.005,4.77,4.82
25/10/2000,4.77,4.82,4.62,4.659
26/10/2000,4.705,4.735,4.64,4.664
27/10/2000,4.59,4.63,4.5,4.541
30/10/2000,4.61,4.76,4.46,4.485
31/10/2000,4.53,4.58,4.38,4.49
01/11/2000,4.61,4.75,4.55,4.686
02/11/2000,4.67,4.85,4.64,4.76
03/11/2000,4.88,4.97,4.865,4.931
06/11/2000,4.95,4.97,4.8,4.849
07/11/2000,5.01,5.1,4.98,5.081
08/11/2000,5.17,5.44,5.16,5.338
09/11/2000,5.5,5.55,5.41,5.445
10/11/2000,5.39,5.525,5.38,5.456
13/11/2000,5.65,5.74,5.61,5.698
14/11/2000,5.86,6.025,5.8,6.016
15/11/2000,6.07,6.32,5.915,6.265
16/11/2000,6.07,6.12,5.78,5.798
17/11/2000,5.69,6.14,5.625,6.1
20/11/2000,6.25,6.36,6.21,6.24
21/11/2000,6.28,6.51,6.28,6.408
22/11/2000,6.34,6.62,6.3,6.577
27/11/2000,6.41,6.58,6.34,6.368
