Date,Open,High,Low,Close
24/11/1999,3011,3123.5,2990,3123.5
26/11/1999,3119.5,3165,3112.5,3121
29/11/1999,3124,3142.5,3067,3074.5
30/11/1999,3071,3079,2968,2972.5
01/12/1999,2971,3030,2961.5,3014
02/12/1999,3015.5,3115,3010.5,3112.5
03/12/1999,3110,3218.5,3094,3174.5
06/12/1999,3174.5,3229,3157,3204.5
07/12/1999,3200,3227,3160.5,3211.5
08/12/1999,3205,3228,3160,3165
09/12/1999,3162,3223.5,3105,3167.5
10/12/1999,3160,3220,3131,3208.5
13/12/1999,3213,3277,3176,3240.5
14/12/1999,3249.5,3290,3167,3176.5
15/12/1999,3187.5,3241,3124,3229.5
16/12/1999,3228,3345,3225,3334
17/12/1999,3369,3394,3369,3393
20/12/1999,3400,3456.5,3391,3446.5
21/12/1999,3439,3599,3431.5,3599
22/12/1999,3594,3626,3549.5,3619.5
23/12/1999,3613.5,3682,3599.5,3644
27/12/1999,3635.5,3678.5,3566,3640
28/12/1999,3635,3674,3596,3622.5
29/12/1999,3621.5,3748,3611.5,3744.5
30/12/1999,3744.5,3804.5,3720,3734.5
31/12/1999,3728.5,3772,3722.5,3754
03/01/2000,3750,3895,3681,3844.5
04/01/2000,3838.5,3842.5,3525,3557.5
05/01/2000,3557.5,3618,3395,3512.5
06/01/2000,3493,3553,3282.5,3312.5
07/01/2000,3284.5,3574.5,3257,3557.5
10/01/2000,3561,3804.5,3554.5,3770
11/01/2000,3765,3766,3542,3575
12/01/2000,3576,3615,3476,3503.5
13/01/2000,3508,3652.5,3502,3652.5
14/01/2000,3660,3785,3645,3751.5
18/01/2000,3743,3819.5,3669.5,3807
19/01/2000,3800.5,3850.5,3741,3850
20/01/2000,3847,3913,3811,3876.5
21/01/2000,3870,3914,3824,3889.5
24/01/2000,3891.5,3938,3675.5,3683.5
25/01/2000,3675,3797,3606.5,3791.5
26/01/2000,3775,3787.5,3637.5,3654.5
27/01/2000,3628.5,3734,3526,3636
28/01/2000,3640.5,3685,3409,3475
31/01/2000,3462,3620,3371,3612.5
01/02/2000,3606.5,3735,3564,3723.5
02/02/2000,3719.5,3816,3692,3734
03/02/2000,3734,3892.5,3713,3892.5
04/02/2000,3888,3960,3861,3906.5
07/02/2000,3906.5,3958.5,3875.5,3957
08/02/2000,3944.5,4098.5,3942,4095
09/02/2000,4100,4144,3976.5,3976.5
10/02/2000,3971,4116,3968,4112
11/02/2000,4109,4140,3950,3992.5
14/02/2000,3983.5,4028,3934,4003.5
15/02/2000,3999.5,4050,3861,4036.5
16/02/2000,4034.5,4087,3995,4020.5
17/02/2000,4026,4146,4011,4106.5
18/02/2000,4110,4141,3962.5,3968
22/02/2000,3954.5,4018,3865.5,3967.5
23/02/2000,3977,4218,3962,4187.5
24/02/2000,4189.5,4292.5,4106.5,4292.5
25/02/2000,4283.5,4316,4130,4194
28/02/2000,4182.5,4243,4029,4158
29/02/2000,4164.5,4301,4158.5,4301
01/03/2000,4298,4353,4273,4325.5
02/03/2000,4325,4338,4204,4225
03/03/2000,4230,4458,4210,4454.5
06/03/2000,4447,4541,4431,4497.5
07/03/2000,4483.5,4570.5,4361,4392.5
08/03/2000,4387.5,4465,4272,4457.5
09/03/2000,4457,4615,4376.5,4608
10/03/2000,4600,4668,4555,4605
13/03/2000,4590,4597,4420.5,4464
14/03/2000,4459.5,4546,4226,4244
15/03/2000,4248,4298,4091.5,4110.5
16/03/2000,4155,4400,4057,4359.5
17/03/2000,4359.5,4385,4359.5,4360.5
20/03/2000,4507.5,4529,4315.5,4352.5
21/03/2000,4348,4529.5,4215,4518
22/03/2000,4510,4709,4492,4620
23/03/2000,4625,4775,4576,4732.5
24/03/2000,4730,4884,4666,4804
27/03/2000,4787,4850,4751,4762
28/03/2000,4761,4837.5,4650,4662.5
29/03/2000,4660,4678,4456,4468.5
30/03/2000,4471,4558,4211.5,4327.5
31/03/2000,4328,4486,4245.5,4457.5
03/04/2000,4417,4417,4088.5,4135
04/04/2000,4128,4212,3695,4066
05/04/2000,4080,4213.5,3929,4060
06/04/2000,4055,4220,4019.5,4145
07/04/2000,4144.5,4343.5,4135,4337
10/04/2000,4340.5,4377.5,4010,4025.5
11/04/2000,4026,4100.5,3886,3955
12/04/2000,3954.5,4027,3653,3695
13/04/2000,3685,3884,3562,3585
14/04/2000,3593,3620.5,3148,3217.5
17/04/2000,3207.5,3590,3107.5,3577.5
18/04/2000,3584,3752,3489,3750
19/04/2000,3734.5,3781,3604.5,3622.5
20/04/2000,3630,3670,3485,3535
24/04/2000,3488.5,3488.5,3223,3417
25/04/2000,3416.5,3655,3399,3645
26/04/2000,3650,3734,3520,3527.5
27/04/2000,3527.5,3733.5,3417.5,3685
28/04/2000,3694.5,3826.5,3680,3810
01/05/2000,3807.5,3910,3806,3867
02/05/2000,3866,3887,3636,3638
03/05/2000,3638.5,3658,3452,3585
04/05/2000,3583.5,3652,3535,3589.5
05/05/2000,3585,3740,3527.5,3695
08/05/2000,3682,3693,3512.5,3551.5
09/05/2000,3547,3599,3420.5,3452.5
10/05/2000,3448,3485.5,3245.5,3252.5
11/05/2000,3250,3408,3194,3385.5
12/05/2000,3402.5,3540,3391,3417.5
15/05/2000,3410,3565,3327.5,3559.5
16/05/2000,3555,3683.5,3547,3670
17/05/2000,3669.5,3673.5,3538.5,3587.5
18/05/2000,3589,3605,3440,3460
19/05/2000,3457.5,3475,3266,3280
22/05/2000,3276,3330,3058,3297.5
23/05/2000,3284.5,3346,3008.5,3012.5
24/05/2000,3015,3213,2902.5,3167.5
25/05/2000,3166,3308,3081,3125.5
26/05/2000,3125.5,3184.5,3042,3130
30/05/2000,3123.5,3440,3123,3427
31/05/2000,3425.5,3474,3325,3325
01/06/2000,3324,3546.5,3324,3512.5
02/06/2000,3512,3775.5,3487,3751.5
05/06/2000,3752,3830,3691,3752.5
06/06/2000,3746.5,3817,3650,3662.5
07/06/2000,3663.5,3746.5,3605,3737.5
08/06/2000,3738,3804.5,3676,3730.5
09/06/2000,3727.5,3840,3721,3754.5
12/06/2000,3745,3800,3644,3658
13/06/2000,3665,3772.5,3587,3772.5
14/06/2000,3780.5,3850,3669,3695.5
15/06/2000,3666,3799.5,3639,3757.5
16/06/2000,3757.5,3800.75,3757.5,3800.75
19/06/2000,3757.5,3790,3757.5,3783
20/06/2000,3757.5,3790,3757.5,3783
21/06/2000,3757.5,3790,3757.5,3783
22/06/2000,4020,4030.5,3855.5,3862.5
23/06/2000,3865.5,3885.5,3718,3728
26/06/2000,3737.5,3838,3736.5,3827.5
27/06/2000,3829,3864,3753,3767.5
28/06/2000,3766.5,3876,3756,3815.5
29/06/2000,3816.5,3831,3620,3731
30/06/2000,3726,3817,3717.5,3817
03/07/2000,3801.5,3867,3786.5,3861.5
05/07/2000,3854,3907.5,3690,3709.5
06/07/2000,3711.5,3845,3652,3834
07/07/2000,3836,3938.5,3827,3877.5
10/07/2000,3869,3890,3808,3828
11/07/2000,3825.5,3885,3752,3781.5
12/07/2000,3806,3958,3806,3930.5
