Date,Open,High,Low,Close
24/11/1999,469,470.5,464,465.25
26/11/1999,465,466.5,463,463.25
29/11/1999,465.5,475.5,465.5,467.5
30/11/1999,468.5,477,468.5,476.25
01/12/1999,477,479.5,474.5,476
02/12/1999,476.5,477,472,472.75
03/12/1999,469,475,468.5,472.5
06/12/1999,472.5,478.5,471,476.5
07/12/1999,476,482,475.25,480.25
08/12/1999,476.5,479,468.5,472
09/12/1999,472.5,472.5,459,459.5
10/12/1999,459,462.5,457.5,461
13/12/1999,450,451.5,446.25,451
14/12/1999,450.5,453.75,448,453
15/12/1999,453.5,454.5,449,452.75
16/12/1999,454.25,456,450.75,451.25
17/12/1999,451,453,449.25,452.25
20/12/1999,458,460.5,456.75,458.5
21/12/1999,458.5,459.75,454.5,456.75
22/12/1999,459,468,459,466
23/12/1999,465,468,464.5,467
27/12/1999,472,473,458,458.5
28/12/1999,459,460.25,456.5,458.25
29/12/1999,456.5,457.75,454.25,454.5
30/12/1999,456.5,462.5,456.5,461.75
03/01/2000,464,466,455.75,456.5
04/01/2000,458.5,466,458.25,464.25
05/01/2000,464,470,462.5,469.25
06/01/2000,469.5,473,468,468
07/01/2000,467.5,472,466.5,471.5
10/01/2000,466,469.25,465,466.25
11/01/2000,465,470.75,464,467
12/01/2000,479,479,471.5,472.5
13/01/2000,472.5,483.5,471,481.75
14/01/2000,480,490,480,485.5
18/01/2000,488,503,487.5,502.25
19/01/2000,499.5,504,497.75,501
20/01/2000,500.5,506.75,497.5,505.5
21/01/2000,505,507.5,501,505.25
24/01/2000,512,513,508,512
25/01/2000,511.5,517.5,510.5,517
26/01/2000,514,516,511.75,513.25
27/01/2000,509.5,528,508,527
28/01/2000,524.5,529,521.5,523.5
31/01/2000,514,515,505,508
01/02/2000,511,511.5,503,510
02/02/2000,508,513,505.5,507.5
03/02/2000,504.5,505,498,501
04/02/2000,496,506,495,505.5
07/02/2000,507.5,510.25,505,506.5
08/02/2000,501,504.75,499,500.25
09/02/2000,497.5,504.5,496.75,503.75
10/02/2000,506,514,502.5,513
11/02/2000,511,513,504.25,505.25
14/02/2000,506.5,510.25,504.5,505
15/02/2000,502,510.75,501.5,508.75
16/02/2000,510.5,512.5,503.25,507.5
17/02/2000,508,510,504.5,508
18/02/2000,508,516,507.75,514.5
22/02/2000,516,518.75,512.5,513
23/02/2000,510,511,499.5,499.75
24/02/2000,496.5,505,496,504.5
25/02/2000,504.5,505,492,497
28/02/2000,494,501,494,497.75
29/02/2000,495,502,494.5,501.25
01/03/2000,500.25,504,495.5,496.5
02/03/2000,495,502.5,492.5,501.5
03/03/2000,502.5,507,501,504
06/03/2000,503,509,501.5,508.25
07/03/2000,507.5,510.25,501.75,502.25
08/03/2000,502,508.75,501.5,505.5
09/03/2000,509,510,506.25,507
10/03/2000,510,510.5,498.75,500
13/03/2000,505,513.5,503,513.25
14/03/2000,514,520,513.25,520
15/03/2000,527,530,524,525
16/03/2000,523,534.5,522.5,525.5
17/03/2000,532,538.5,530.5,537.5
20/03/2000,526,529.5,523.5,525.75
21/03/2000,525,527.75,522.5,526.75
22/03/2000,528.5,531.5,526,531
23/03/2000,528,528.5,521,522
24/03/2000,528,534,527,530.75
27/03/2000,534,535.75,527.5,531.5
28/03/2000,530,530,525.5,526.5
29/03/2000,529,529.75,523.5,529
30/03/2000,532.5,538,531.5,537.5
31/03/2000,542,548.5,540.5,545.5
03/04/2000,549,554,546,546.5
04/04/2000,546,547.5,529,538.5
05/04/2000,539.5,543.75,535.5,543
06/04/2000,535.5,536.5,530.5,531
07/04/2000,526.5,540,526,538.75
10/04/2000,531,534.25,530,532
11/04/2000,529,535.5,527.5,528
12/04/2000,531,538,531,537.5
13/04/2000,536.5,541,534.5,538.25
14/04/2000,542,543.5,532,532.5
17/04/2000,529.5,535,529,531.5
18/04/2000,531,534.5,529.5,534
19/04/2000,535,538,533.5,537.5
20/04/2000,531.5,537,529.75,536.25
24/04/2000,535,544.5,533,544
25/04/2000,543,547,541,543
26/04/2000,544.5,547.5,539.5,540.25
27/04/2000,537.5,539,531.5,532.5
28/04/2000,534,534,522.5,526.5
01/05/2000,535.5,557,535.5,555
02/05/2000,556,560,553,554.25
03/05/2000,557,570.5,557,560.75
04/05/2000,555,563,555,561
05/05/2000,557.5,557.75,551,555
08/05/2000,545,551.5,544,547.25
09/05/2000,546,547.25,543.5,545.25
10/05/2000,549,562,549,560
11/05/2000,559.5,561,553.75,559
12/05/2000,551,554,550,551.5
15/05/2000,555,555,537,549.75
16/05/2000,548.5,551.75,542,543.75
17/05/2000,538.5,545,536.5,541.25
18/05/2000,553,560.5,545.5,547.75
19/05/2000,546.5,555,546,554.5
22/05/2000,550,560,548.5,553
23/05/2000,550.5,554.5,548,548.75
24/05/2000,544.5,546,539.75,542.25
25/05/2000,543.5,544,525,527.25
26/05/2000,531,535,528.5,534.25
30/05/2000,517,519,512.25,517
31/05/2000,520,520.5,515.75,517.5
01/06/2000,524.5,525.5,522,522.5
02/06/2000,526,534.5,526,533.75
05/06/2000,528,533.5,526,529.25
06/06/2000,531,531,521.5,530.5
07/06/2000,523,524.5,517.5,522.5
08/06/2000,522.75,525.5,518.5,521.5
09/06/2000,519,523.75,517.75,520.75
12/06/2000,503,511.5,501.5,510.5
13/06/2000,510,514.5,506.5,510.5
14/06/2000,506.5,515,499.5,510.75
15/06/2000,513,517,508.75,510
16/06/2000,514.5,514.5,504,504.75
19/06/2000,504,505.5,502,505
