Date,Open,High,Low,Close
24/11/1999,242.5,243.5,239,239.25
26/11/1999,238.25,239.5,235.25,235.75
29/11/1999,235.5,236.5,230,230.75
30/11/1999,233.5,234.5,231.75,233
01/12/1999,234.5,238,234.5,236.5
02/12/1999,237.5,237.5,231.25,232.25
03/12/1999,231,231.5,227.5,228.25
06/12/1999,227.5,233.75,227.5,233.25
07/12/1999,234,234,230,231.5
08/12/1999,228.75,230,225.5,227
09/12/1999,228,229,225,226
10/12/1999,225.5,227.5,224.5,227.5
13/12/1999,225,225,222.5,224
14/12/1999,225.5,228.5,224.25,227
15/12/1999,229.5,229.5,225.75,227
16/12/1999,227,233,227,230
17/12/1999,231.5,233.75,231,233.5
20/12/1999,237.25,237.25,234,236
21/12/1999,248,248.5,245.5,246
22/12/1999,245.5,248.5,244.75,248
23/12/1999,249.5,250.75,248.25,249.75
27/12/1999,253.5,253.5,245.5,247
28/12/1999,246.5,247.75,245,247.25
29/12/1999,247,248.5,246.5,246.75
30/12/1999,247.5,250,247,248.5
03/01/2000,251.5,251.5,245.25,247.5
04/01/2000,246,248,241,247.25
05/01/2000,247.5,250,246,249.75
06/01/2000,249.75,251,247.5,248.5
07/01/2000,246.5,252,246,251.75
10/01/2000,249.5,255,249,253.5
11/01/2000,253.5,256,251.5,253.75
12/01/2000,259,260,257,258.75
13/01/2000,257,263.75,257,263.5
14/01/2000,263,267.75,261.5,265
18/01/2000,262,265.5,261,264.5
19/01/2000,265,266.5,263,266
20/01/2000,264.75,265.75,262.5,265
21/01/2000,265,266.25,261.5,264.25
24/01/2000,267,269,265,266
25/01/2000,265,265.25,263,264.75
26/01/2000,262.5,262.5,259,260
27/01/2000,259,264,256.5,263.5
28/01/2000,263,263.5,259,259.75
31/01/2000,257,258,254,256.25
01/02/2000,257,258.25,254.25,258
02/02/2000,257.5,259.5,256.75,257.25
03/02/2000,256,256,253,253.75
04/02/2000,252,257.5,249,257
07/02/2000,259,260.75,257,258.75
08/02/2000,257,260.25,256.5,259.25
09/02/2000,257.5,266,257,265.5
10/02/2000,266.5,273,266,271.75
11/02/2000,270.5,273.5,267.5,269.5
14/02/2000,271.5,272.5,268,268.75
15/02/2000,266,268.75,265,266
16/02/2000,266.5,268,263.25,265.25
17/02/2000,265,265.5,262,262.5
18/02/2000,261.5,265,261,264.75
22/02/2000,265.25,265.5,262,262.25
23/02/2000,259.5,259.5,254.25,254.75
24/02/2000,254.5,257.25,253.5,254.75
25/02/2000,254.5,254.5,247.5,248
28/02/2000,247.5,249,244,244.5
29/02/2000,244.5,248.25,244,247
01/03/2000,247,249.75,245.75,247.75
02/03/2000,247,247.5,244.25,247.25
03/03/2000,246.5,248.5,245.5,247.5
06/03/2000,246.5,250,245.75,249.75
07/03/2000,250,252,249,250
08/03/2000,249,252,248,252
09/03/2000,256,256.5,254,254.25
10/03/2000,254,254,249.5,250
13/03/2000,252.5,254.5,252,253.75
14/03/2000,256,259.5,256,259.5
15/03/2000,270,271,267.25,268.75
16/03/2000,266.5,270,266,266.25
17/03/2000,271,273,266,272.25
20/03/2000,266,268.25,266,266.25
21/03/2000,265,265.5,259.25,260.25
22/03/2000,260,263,258,261.75
23/03/2000,260,261,256,256.25
24/03/2000,256.25,258.5,252,252.75
27/03/2000,254.5,255.75,252.75,254.5
28/03/2000,254,254,249.5,249.75
29/03/2000,249.5,252,248.5,251.25
30/03/2000,251,256.5,251,255.5
31/03/2000,258,263.5,257.5,262.25
03/04/2000,266.5,267,257,257.75
04/04/2000,258,258.5,254,255.75
05/04/2000,255.75,257,253.75,256.25
06/04/2000,253,256,252.25,253.75
07/04/2000,251.5,259,251.25,258.5
10/04/2000,255,256,252.5,252.75
11/04/2000,252.75,255,251.5,252.75
12/04/2000,253,256.5,253,255.5
13/04/2000,257,258.75,254.5,257.75
14/04/2000,260,260.5,255.25,255.75
17/04/2000,255.5,258.25,253,253.25
18/04/2000,254,254.25,249.5,252.25
19/04/2000,251.5,253.5,249.25,253
20/04/2000,250.5,252.5,248.5,251
24/04/2000,251,252.5,248.5,250.75
25/04/2000,251.25,253.25,250.5,252.25
26/04/2000,254,255,248,248.5
27/04/2000,246.5,247,240.5,241
28/04/2000,240.5,243.25,240.5,242.25
01/05/2000,245,254,245,251
02/05/2000,251.5,255,251.5,254.25
03/05/2000,258,264.5,257.5,260
04/05/2000,261,265.5,260.5,265.5
05/05/2000,262.5,263,259.75,261.75
08/05/2000,259,260.25,257,258
09/05/2000,257.5,258.5,257,257.75
10/05/2000,261,265,261,265
11/05/2000,268,272.5,266,272.5
12/05/2000,270,271,270,271
15/05/2000,280.5,283.75,276,282.25
16/05/2000,282.75,285.5,280.5,281.25
17/05/2000,279,281.5,276,277
18/05/2000,280,281.5,271,272
19/05/2000,271.5,277,271.5,276.25
22/05/2000,275,283.5,274.25,280.25
23/05/2000,281.5,284.5,280,281.25
24/05/2000,280,281.25,278.25,279.5
25/05/2000,280.5,282,276,279.5
26/05/2000,280,281.5,278.5,280.75
30/05/2000,275.5,277.5,272.5,274.25
31/05/2000,275.75,276.5,274.25,274.75
01/06/2000,277,278,270,270.5
02/06/2000,270.5,272,267.25,271.25
05/06/2000,269.5,270.25,264,266
06/06/2000,266.5,268,263,267
07/06/2000,265,265.5,260,264.25
08/06/2000,265.5,268,263.5,266.5
09/06/2000,265.5,271.75,265.5,269.75
12/06/2000,266,267.5,264.5,265.75
13/06/2000,266.5,268.25,264.25,264.75
14/06/2000,262,264.75,260.5,261.25
15/06/2000,261.75,264.75,260.5,262.75
16/06/2000,265.5,265.5,262.5,263
19/06/2000,263.5,269.5,261.5,268.75
20/06/2000,267,276,266.5,273.75
21/06/2000,273,279.75,273,277
22/06/2000,278,281,275,277.5
23/06/2000,277,277.25,272,272.25
26/06/2000,272,276.75,271.25,274
27/06/2000,275,277,273,273.75
28/06/2000,272,274,270.25,271.5
29/06/2000,273,274,270.75,271.75
30/06/2000,265,266.5,258.5,259.5
03/07/2000,256,256,243,245.5
05/07/2000,247.5,251,247,248
06/07/2000,248,250,244.5,244.5
07/07/2000,247.5,248,244.75,245.5
10/07/2000,243,247.25,241,247.25
11/07/2000,249,249,247,247
12/07/2000,242,243,237.5,243
13/07/2000,242,245.5,242,245
14/07/2000,244,244.5,242.5,242.5
17/07/2000,246.5,248,243.75,244.25
18/07/2000,245.5,247.5,241,241.25
19/07/2000,240,246,239,244.5
20/07/2000,245,247.5,245,246.75
21/07/2000,248,248.5,246.5,247.25
24/07/2000,248.5,249.5,242.5,245.5
25/07/2000,245,247,243,245.5
26/07/2000,246.5,247.5,243,244.25
27/07/2000,246,247.75,245,245.75
28/07/2000,246.5,251,246.5,248
31/07/2000,247,248.25,245.25,246.25
01/08/2000,247.5,249.75,242.5,245
02/08/2000,245,247.25,245,246.25
03/08/2000,244,247.5,241.75,242.25
04/08/2000,240,241.5,236.5,237
07/08/2000,238.5,239.25,233,233.5
08/08/2000,234,237,234,236.5
09/08/2000,237,237.25,233.5,235.5
10/08/2000,237,238,235,235.75
11/08/2000,232.5,238,232.5,236.75
14/08/2000,236.5,239,236,238.5
15/08/2000,239,241.5,238.25,240.5
16/08/2000,242.5,244.5,242,243.5
17/08/2000,243,245.5,238.5,239.5
18/08/2000,239,241.25,238,238.75
21/08/2000,238,238.75,234,236.25
22/08/2000,238,238,234.5,234.75
23/08/2000,233,235.25,232.25,233.75
24/08/2000,234.5,240.5,233.75,240
25/08/2000,242.5,244.25,241,241.5
28/08/2000,245,247,241.5,242.5
29/08/2000,243.5,251,243.5,250.25
30/08/2000,250,250.75,245.75,246.25
31/08/2000,247.5,251,247,250.75
01/09/2000,250,252,248,250.25
05/09/2000,254.5,256,253,253
06/09/2000,251,251,245.5,247.5
07/09/2000,248,250.25,248,249.5
08/09/2000,249.5,251.25,249.5,250.5
11/09/2000,250,250.5,248.75,249.25
12/09/2000,246,246,242,245
13/09/2000,245,246,240.5,242
14/09/2000,242,242.25,241,242
15/09/2000,254.25,255.25,252,252.25
18/09/2000,251.5,257,248.5,256.25
19/09/2000,255,257,249,249.25
20/09/2000,248,253,248,249.75
21/09/2000,248.75,249,246,247.5
22/09/2000,248,252,248,250.75
25/09/2000,253,254.75,252.5,253.5
26/09/2000,254.75,257,254,254.5
27/09/2000,253.5,259.5,252.75,258.5
28/09/2000,260,261.5,259,259.25
29/09/2000,265,266,263.75,265
02/10/2000,269.5,269.5,264,267
03/10/2000,267,269,263,268.75
04/10/2000,267,270.5,266.5,267.25
05/10/2000,264.5,268.5,263.25,267.25
06/10/2000,267,270.5,266.25,268
09/10/2000,267.5,268,264.5,267.25
10/10/2000,267,275.5,267,275.25
11/10/2000,274.5,278.5,274.25,276.75
12/10/2000,279,280.5,272,273.5
13/10/2000,273,273.5,267,267.25
16/10/2000,267,271.5,265.5,270.75
17/10/2000,271,271.25,265.5,268.5
18/10/2000,265,265.5,262.25,263.75
19/10/2000,263.5,264,259.75,260.25
20/10/2000,259.75,263.5,259,261.25
23/10/2000,260.5,260.5,256,256.75
24/10/2000,257.5,258.5,253,256.25
25/10/2000,256.25,258.5,253.75,255.5
26/10/2000,255.5,258,255,256.25
27/10/2000,257.5,260.5,257.5,259
30/10/2000,259.5,260,254,255.5
31/10/2000,254,258.5,250.5,254.75
01/11/2000,255,257,254.5,254.75
02/11/2000,259,261,257,259.75
03/11/2000,262,265,260.5,264
06/11/2000,266,266.5,262,262.75
07/11/2000,261.5,263.25,260.5,262.25
08/11/2000,263.5,266,262.75,265.25
09/11/2000,263.5,264.5,258,258.25
10/11/2000,256.5,258.25,254.75,256.75
13/11/2000,256.5,259,256,257.75
14/11/2000,259,259.5,255.25,255.75
15/11/2000,255,257.25,254,254.5
16/11/2000,253.5,255.5,252,254.5
17/11/2000,255.5,258.25,255.5,256
20/11/2000,258,259.75,255.5,256
