Date,Open,High,Low,Close
24/11/1999,11037,11075,10980,11047
26/11/1999,11067,11086,10961,10963
29/11/1999,10949,11025,10922,10980
30/11/1999,10984,11070,10880,10888
01/12/1999,10890,11045,10861,11040
02/12/1999,11041,11090,11030,11065
03/12/1999,11060,11360,11045,11325
06/12/1999,11321,11369,11215,11233
07/12/1999,11230,11275,11120,11135
08/12/1999,11137,11185,11055,11060
09/12/1999,11077,11205,11055,11150
10/12/1999,11145,11290,11121,11234
13/12/1999,11202,11259,11170,11205
14/12/1999,11234,11300,11141,11167
15/12/1999,11182,11273,11113,11214
16/12/1999,11216,11265,11125,11243
17/12/1999,11379,11525,11360,11427
20/12/1999,11412,11459,11245,11260
21/12/1999,11256,11385,11225,11346
22/12/1999,11331,11396,11316,11355
23/12/1999,11360,11580,11344,11575
27/12/1999,11549,11624,11526,11540
28/12/1999,11535,11645,11520,11630
29/12/1999,11631,11670,11590,11620
30/12/1999,11620,11685,11551,11563
31/12/1999,11557,11660,11541,11625
03/01/2000,11635,11715,11415,11453
04/01/2000,11447,11480,11075,11080
05/01/2000,11081,11323,11010,11223
06/01/2000,11213,11410,11104,11300
07/01/2000,11305,11670,11270,11660
10/01/2000,11644,11781,11636,11702
11/01/2000,11685,11765,11602,11621
12/01/2000,11618,11700,11602,11639
13/01/2000,11630,11745,11615,11672
14/01/2000,11660,11840,11658,11835
18/01/2000,11832,11853,11625,11655
19/01/2000,11666,11667,11540,11620
20/01/2000,11630,11710,11340,11435
21/01/2000,11440,11505,11301,11340
24/01/2000,11365,11440,10980,11070
25/01/2000,11067,11158,10932,11098
26/01/2000,11101,11199,11080,11114
27/01/2000,11105,11225,10975,11117
28/01/2000,11127,11195,10770,10779
31/01/2000,10789,11030,10755,11020
01/02/2000,11015,11120,10960,11098
02/02/2000,11098,11170,11020,11038
03/02/2000,11027,11118,10875,11096
04/02/2000,11105,11175,10990,11016
07/02/2000,11012,11015,10880,10923
08/02/2000,10917,11075,10910,10977
09/02/2000,10995,11044,10710,10718
10/02/2000,10740,10790,10642,10660
11/02/2000,10661,10715,10385,10483
14/02/2000,10483,10590,10480,10582
15/02/2000,10584,10820,10531,10780
16/02/2000,10771,10806,10595,10605
17/02/2000,10605,10720,10485,10495
18/02/2000,10506,10580,10220,10286
22/02/2000,10291,10370,10125,10283
23/02/2000,10283,10369,10180,10258
24/02/2000,10260,10318,9960,10120
25/02/2000,10111,10177,9850,9885
28/02/2000,9897,10180,9840,10037
29/02/2000,10040,10235,10040,10185
01/03/2000,10175,10220,10090,10180
02/03/2000,10180,10233,10115,10185
03/03/2000,10189,10465,10170,10395
06/03/2000,10395,10420,10115,10165
07/03/2000,10163,10215,9750,9755
08/03/2000,9760,9925,9720,9855
09/03/2000,9855,10050,9735,10039
10/03/2000,10040,10105,9905,9938
13/03/2000,9906,10005,9690,9947
14/03/2000,9953,10050,9790,9824
15/03/2000,9800,10180,9765,10157
16/03/2000,10176,10685,10150,10680
17/03/2000,10785,10895,10700,10758
20/03/2000,10728,10860,10706,10820
21/03/2000,10817,11050,10725,11025
22/03/2000,11015,11050,10910,10978
23/03/2000,10979,11275,10925,11227
24/03/2000,11217,11380,11150,11300
27/03/2000,11285,11309,11100,11109
28/03/2000,11110,11215,11040,11060
29/03/2000,11061,11230,11015,11182
30/03/2000,11178,11265,11015,11115
31/03/2000,11115,11230,11034,11068
03/04/2000,11045,11385,10980,11380
04/04/2000,11367,11540,10760,11295
05/04/2000,11295,11340,11095,11155
06/04/2000,11146,11329,11125,11235
07/04/2000,11229,11300,11155,11205
10/04/2000,11199,11395,11188,11300
11/04/2000,11287,11460,11185,11427
12/04/2000,11425,11535,11150,11167
13/04/2000,11175,11260,10975,11000
14/04/2000,11004,11050,10200,10340
17/04/2000,10304,10690,10180,10682
18/04/2000,10685,10850,10614,10847
19/04/2000,10850,10880,10715,10745
20/04/2000,10744,10960,10730,10945
24/04/2000,10905,10995,10760,10970
25/04/2000,10965,11250,10960,11240
26/04/2000,11235,11265,10970,11008
27/04/2000,11020,11025,10780,10894
28/04/2000,10903,11040,10775,10810
01/05/2000,10800,10990,10780,10867
02/05/2000,10875,10890,10750,10775
03/05/2000,10765,10765,10435,10523
04/05/2000,10532,10608,10438,10478
05/05/2000,10470,10640,10385,10625
08/05/2000,10603,10680,10525,10640
09/05/2000,10640,10730,10545,10583
10/05/2000,10580,10620,10315,10375
11/05/2000,10390,10625,10321,10600
12/05/2000,10610,10715,10575,10669
15/05/2000,10674,10863,10630,10850
16/05/2000,10841,11005,10830,10957
17/05/2000,10945,10945,10785,10810
18/05/2000,10810,10905,10752,10785
19/05/2000,10780,10808,10600,10700
22/05/2000,10667,10745,10405,10577
23/05/2000,10566,10626,10445,10485
24/05/2000,10489,10585,10390,10565
25/05/2000,10570,10620,10285,10380
26/05/2000,10370,10430,10285,10333
30/05/2000,10363,10585,10363,10567
31/05/2000,10560,10624,10510,10550
01/06/2000,10545,10705,10530,10670
02/06/2000,10655,10890,10641,10772
05/06/2000,10775,10875,10720,10825
06/06/2000,10810,10863,10715,10762
07/06/2000,10770,10870,10720,10830
08/06/2000,10820,10870,10650,10698
09/06/2000,10717,10800,10600,10644
12/06/2000,10645,10683,10575,10583
13/06/2000,10570,10680,10490,10653
14/06/2000,10678,10740,10644,10720
15/06/2000,10745,10770,10670,10703
16/06/2000,10840,10875,10590,10595
19/06/2000,10601,10740,10570,10685
20/06/2000,10685,10695,10541,10580
21/06/2000,10566,10649,10535,10630
22/06/2000,10620,10630,10455,10530
23/06/2000,10533,10620,10500,10559
26/06/2000,10581,10715,10570,10710
27/06/2000,10705,10744,10635,10643
28/06/2000,10642,10750,10625,10640
29/06/2000,10640,10652,10460,10520
30/06/2000,10515,10560,10430,10550
03/07/2000,10565,10710,10537,10700
05/07/2000,10695,10715,10560,10596
06/07/2000,10600,10640,10500,10593
07/07/2000,10600,10775,10595,10740
10/07/2000,10720,10805,10704,10750
11/07/2000,10740,10910,10695,10815
12/07/2000,10825,10945,10825,10877
13/07/2000,10865,10943,10849,10887
14/07/2000,10881,10960,10845,10895
17/07/2000,10909,10948,10845,10880
18/07/2000,10880,10885,10790,10848
19/07/2000,10856,10885,10760,10810
20/07/2000,10804,10985,10802,10980
21/07/2000,10970,10975,10780,10790
24/07/2000,10800,10860,10750,10780
25/07/2000,10776,10830,10755,10765
